"A","B","D","group_id","cardinality","synteny","group","chrs","origin","hit_A","hit_B","hit_D","from","n_hits","direction"
"TraesCS3A03G0845100","TraesCS3B03G0970800","TraesCS3D03G0775000",8210,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0845500","TraesCS3B03G0971300","TraesCS3D03G0775600",8213,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS3A03G0846200","TraesCS3B03G0972000","TraesCS3D03G0776200",8217,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0846900","TraesCS3B03G0972600","TraesCS3D03G0776900",8220,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0853000","TraesCS3B03G0977300","TraesCS3D03G0781500",8233,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0853700","TraesCS3B03G0978200","TraesCS3D03G0782300",8238,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0854100","TraesCS3B03G0978500","TraesCS3D03G0783400",8240,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0856400","TraesCS3B03G0980400","TraesCS3D03G0784400",8242,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0856900","TraesCS3B03G0980700","TraesCS3D03G0784700",8244,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0857500","TraesCS3B03G0981600","TraesCS3D03G0785200",8246,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0860100","TraesCS3B03G0984700","TraesCS3D03G0789000",8257,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0860600","TraesCS3B03G0985200","TraesCS3D03G0789100",8258,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0861500","TraesCS3B03G0985900","TraesCS3D03G0791000",8260,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0861800","TraesCS3B03G0986400","TraesCS3D03G0791100",8261,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0862900","TraesCS3B03G0986700","TraesCS3D03G0791200",8262,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0863600","TraesCS3B03G0986900","TraesCS3D03G0792200",8263,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0863800","TraesCS3B03G0987100","TraesCS3D03G0792400",8264,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0864400","TraesCS3B03G0987300","TraesCS3D03G0792900",8265,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0864700","TraesCS3B03G0987700","TraesCS3D03G0793300",8268,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0865800","TraesCS3B03G0989300","TraesCS3D03G0794200",8272,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0866900","TraesCS3B03G0990300","TraesCS3D03G0794900",8275,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0868800","TraesCS3B03G0991200","TraesCS3D03G0795200",8276,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0869200","TraesCS3B03G0992200","TraesCS3D03G0795800",8279,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0869500","TraesCS3B03G0992500","TraesCS3D03G0796000",8281,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0869700","TraesCS3B03G0992900","TraesCS3D03G0796600",8283,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0869800","TraesCS3B03G0993000","TraesCS3D03G0796700",8284,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0870900","TraesCS3B03G0993600","TraesCS3D03G0797200",8287,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0871600","TraesCS3B03G0993700","TraesCS3D03G0797700",8289,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0871700","TraesCS3B03G0994000","TraesCS3D03G0797800",8290,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0871800","TraesCS3B03G0995200","TraesCS3D03G0798100",8291,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0872100","TraesCS3B03G0995600","TraesCS3D03G0798400",8293,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0872300","TraesCS3B03G0996000","TraesCS3D03G0798700",8295,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS3A03G0872800","TraesCS3B03G0996500","TraesCS3D03G0799200",8298,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0875300","TraesCS3B03G0999800","TraesCS3D03G0801200",8305,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0876100","TraesCS3B03G1001400","TraesCS3D03G0802600",8307,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0876000","TraesCS3B03G1001500","TraesCS3D03G0802700",8308,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0876400","TraesCS3B03G1001900","TraesCS3D03G0802800",8309,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0876500","TraesCS3B03G1002000","TraesCS3D03G0802900",8310,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0876700","TraesCS3B03G1002200","TraesCS3D03G0803100",8312,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0877200","TraesCS3B03G1002600","TraesCS3D03G0803500",8314,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0877300","TraesCS3B03G1002700","TraesCS3D03G0803700",8315,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0878500","TraesCS3B03G1004700","TraesCS3D03G0805100",8323,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS3A03G0878900","TraesCS3B03G1005000","TraesCS3D03G0805400",8326,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0879400","TraesCS3B03G1005300","TraesCS3D03G0806400",8329,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0881100","TraesCS3B03G1007800","TraesCS3D03G0808900",8332,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0881700","TraesCS3B03G1008100","TraesCS3D03G0809300",8334,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0881900","TraesCS3B03G1008200","TraesCS3D03G0809900",8335,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0883300","TraesCS3B03G1010400","TraesCS3D03G0811100",8339,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0883700","TraesCS3B03G1010600","TraesCS3D03G0811700",8341,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0884700","TraesCS3B03G1010900","TraesCS3D03G0811800",8342,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0885700","TraesCS3B03G1012200","TraesCS3D03G0812900",8344,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0886100","TraesCS3B03G1012400","TraesCS3D03G0813100",8345,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0886200","TraesCS3B03G1012500","TraesCS3D03G0813200",8346,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0886900","TraesCS3B03G1013300","TraesCS3D03G0813600",8349,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0887000","TraesCS3B03G1013400","TraesCS3D03G0813800",8350,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0888300","TraesCS3B03G1014700","TraesCS3D03G0815900",8357,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0888400","TraesCS3B03G1014900","TraesCS3D03G0816100",8358,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0889500","TraesCS3B03G1016200","TraesCS3D03G0817300",8362,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0891600","TraesCS3B03G1017700","TraesCS3D03G0819100",8367,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0892000","TraesCS3B03G1018200","TraesCS3D03G0819500",8369,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0893500","TraesCS3B03G1019700","TraesCS3D03G0821100",8373,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0895200","TraesCS3B03G1020300","TraesCS3D03G0822600",8377,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0895400","TraesCS3B03G1020700","TraesCS3D03G0823200",8379,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0897700","TraesCS3B03G1021600","TraesCS3D03G0823700",8381,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0897800","TraesCS3B03G1021700","TraesCS3D03G0823800",8382,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0899500","TraesCS3B03G1023700","TraesCS3D03G0825900",8384,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0900400","TraesCS3B03G1024600","TraesCS3D03G0826700",8389,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0900500","TraesCS3B03G1024800","TraesCS3D03G0826800",8390,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0900700","TraesCS3B03G1025000","TraesCS3D03G0826900",8391,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0900800","TraesCS3B03G1025100","TraesCS3D03G0827000",8392,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0901200","TraesCS3B03G1025300","TraesCS3D03G0827300",8394,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0901600","TraesCS3B03G1025700","TraesCS3D03G0827800",8397,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0902000","TraesCS3B03G1025800","TraesCS3D03G0828000",8398,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0902700","TraesCS3B03G1026400","TraesCS3D03G0829100",8400,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0902200","TraesCS3B03G1026200","TraesCS3D03G0829300",8401,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0904300","TraesCS3B03G1027300","TraesCS3D03G0830500",8402,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0904700","TraesCS3B03G1027900","TraesCS3D03G0831600",8405,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0905000","TraesCS3B03G1028400","TraesCS3D03G0832200",8407,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0905100","TraesCS3B03G1028500","TraesCS3D03G0832500",8408,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0909800","TraesCS3B03G1030900","TraesCS3D03G0835500",8419,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS3A03G0909900","TraesCS3B03G1031100","TraesCS3D03G0835600",8420,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0910100","TraesCS3B03G1031400","TraesCS3D03G0836200",8421,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0910800","TraesCS3B03G1031700","TraesCS3D03G0836800",8424,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0917800","TraesCS3B03G1033400","TraesCS3D03G0837600",8431,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0917300","TraesCS3B03G1033800","TraesCS3D03G0838100",8434,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0916700","TraesCS3B03G1034700","TraesCS3D03G0838700",8437,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0914000","TraesCS3B03G1036900","TraesCS3D03G0840600",8444,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0913900","TraesCS3B03G1037000","TraesCS3D03G0840700",8445,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0913100","TraesCS3B03G1038000","TraesCS3D03G0841500",8449,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0919200","TraesCS3B03G1040700","TraesCS3D03G0845200",8454,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0919300","TraesCS3B03G1040800","TraesCS3D03G0845400",8455,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS3A03G0919400","TraesCS3B03G1040900","TraesCS3D03G0845500",8456,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0919500","TraesCS3B03G1041000","TraesCS3D03G0845900",8457,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS3A03G0920000","TraesCS3B03G1042400","TraesCS3D03G0847500",8459,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0920800","TraesCS3B03G1043800","TraesCS3D03G0848100",8461,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0921700","TraesCS3B03G1045500","TraesCS3D03G0849900",8465,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0922900","TraesCS3B03G1046900","TraesCS3D03G0852200",8467,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0923200","TraesCS3B03G1047300","TraesCS3D03G0852600",8468,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0923300","TraesCS3B03G1047400","TraesCS3D03G0852800",8469,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0924300","TraesCS3B03G1048500","TraesCS3D03G0853800",8471,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0925900","TraesCS3B03G1050700","TraesCS3D03G0858400",8477,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0927100","TraesCS3B03G1052600","TraesCS3D03G0859500",8483,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0928700","TraesCS3B03G1054000","TraesCS3D03G0861500",8490,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0928900","TraesCS3B03G1054800","TraesCS3D03G0862000",8491,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0929100","TraesCS3B03G1055200","TraesCS3D03G0862300",8493,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0929300","TraesCS3B03G1055500","TraesCS3D03G0862600",8495,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0929600","TraesCS3B03G1055900","TraesCS3D03G0862800",8497,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0930400","TraesCS3B03G1056800","TraesCS3D03G0864200",8500,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS3A03G0932600","TraesCS3B03G1058500","TraesCS3D03G0865400",8504,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0934000","TraesCS3B03G1059900","TraesCS3D03G0866600",8509,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0934100","TraesCS3B03G1060000","TraesCS3D03G0866700",8510,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0934200","TraesCS3B03G1061700","TraesCS3D03G0867000",8511,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0934300","TraesCS3B03G1061900","TraesCS3D03G0867100",8512,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0936700","TraesCS3B03G1065300","TraesCS3D03G0868700",8515,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0937000","TraesCS3B03G1066000","TraesCS3D03G0868900",8516,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0937400","TraesCS3B03G1067300","TraesCS3D03G0869300",8518,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS3A03G0937600","TraesCS3B03G1067600","TraesCS3D03G0869500",8519,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0938100","TraesCS3B03G1067900","TraesCS3D03G0870300",8521,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0938200","TraesCS3B03G1068000","TraesCS3D03G0870400",8522,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0938300","TraesCS3B03G1068100","TraesCS3D03G0870600",8523,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0938500","TraesCS3B03G1068200","TraesCS3D03G0870700",8524,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0943200","TraesCS3B03G1075800","TraesCS3D03G0877000",8538,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0943300","TraesCS3B03G1075900","TraesCS3D03G0877100",8539,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0944600","TraesCS3B03G1077000","TraesCS3D03G0877700",8543,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0946000","TraesCS3B03G1079400","TraesCS3D03G0879300",8549,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0946200","TraesCS3B03G1079600","TraesCS3D03G0880000",8550,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0946300","TraesCS3B03G1079700","TraesCS3D03G0880100",8551,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS3A03G0946400","TraesCS3B03G1079900","TraesCS3D03G0880300",8552,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0946500","TraesCS3B03G1080200","TraesCS3D03G0880400",8553,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0947000","TraesCS3B03G1080300","TraesCS3D03G0880800",8554,"01:01:01","syntenic","triad",3,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS3A03G0948300","TraesCS3B03G1083300","TraesCS3D03G0882200",8560,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0950400","TraesCS3B03G1085700","TraesCS3D03G0884100",8565,"01:01:01","syntenic","triad",3,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS3A03G0950500","TraesCS3B03G1086000","TraesCS3D03G0884200",8566,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0950700","TraesCS3B03G1086900","TraesCS3D03G0884300",8567,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0951100","TraesCS3B03G1087300","TraesCS3D03G0885000",8569,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS3A03G0952700","TraesCS3B03G1089400","TraesCS3D03G0886900",8572,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0952900","TraesCS3B03G1089300","TraesCS3D03G0887100",8574,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS3A03G0954100","TraesCS3B03G1090700","TraesCS3D03G0887900",8577,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0954200","TraesCS3B03G1090800","TraesCS3D03G0888000",8578,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0954500","TraesCS3B03G1091500","TraesCS3D03G0888400",8580,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0955800","TraesCS3B03G1092700","TraesCS3D03G0889400",8582,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0962200","TraesCS3B03G1104700","TraesCS3D03G0897600",8595,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0965700","TraesCS3B03G1109400","TraesCS3D03G0899300",8604,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0966100","TraesCS3B03G1109900","TraesCS3D03G0899700",8606,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0966400","TraesCS3B03G1110000","TraesCS3D03G0899800",8607,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0967900","TraesCS3B03G1112800","TraesCS3D03G0903700",8614,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0968500","TraesCS3B03G1113300","TraesCS3D03G0904500",8616,"01:01:01","syntenic","triad",3,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS3A03G0968700","TraesCS3B03G1114100","TraesCS3D03G0904900",8617,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0969600","TraesCS3B03G1115100","TraesCS3D03G0906100",8622,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0969700","TraesCS3B03G1115200","TraesCS3D03G0906200",8623,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0970000","TraesCS3B03G1115500","TraesCS3D03G0906500",8624,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0970100","TraesCS3B03G1115600","TraesCS3D03G0906600",8625,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0970900","TraesCS3B03G1116700","TraesCS3D03G0907200",8629,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS3A03G0971800","TraesCS3B03G1117500","TraesCS3D03G0908300",8634,"01:01:01","syntenic","triad",3,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
