"CS_reference" "Paragon_reference" "Category"
"TraesCS2A03G0345600" "TraesPARA_EIv1.0_0428760" "Conserved"
"TraesCS2A03G0346100" "TraesPARA_EIv1.0_0428710" "Ambiguous"
"TraesCS2A03G0347900" "TraesPARA_EIv1.0_0428530" "Conserved"
"TraesCS2A03G0349100" "TraesPARA_EIv1.0_0428400" "Ambiguous"
"TraesCS2A03G0349300" "TraesPARA_EIv1.0_0428370" "Conserved"
"TraesCS2A03G0352500" "TraesPARA_EIv1.0_0428130" "Conserved"
"TraesCS2A03G0353000" "TraesPARA_EIv1.0_0428080" "Ambiguous"
"TraesCS2A03G0355400" "TraesPARA_EIv1.0_0427790" "Ambiguous"
"TraesCS2A03G0365400" "TraesPARA_EIv1.0_0426760" "Ambiguous"
"TraesCS2A03G0379600" "TraesPARA_EIv1.0_0425600" "Ambiguous"
"TraesCS2A03G0380200" "TraesPARA_EIv1.0_0425550" "Conserved"
"TraesCS2A03G0387100" "TraesPARA_EIv1.0_0424790" "Conserved"
"TraesCS2A03G0389000" "TraesPARA_EIv1.0_0424660" "Conserved"
"TraesCS2A03G0389300" "TraesPARA_EIv1.0_0424640" "Conserved"
"TraesCS2A03G0391000" "TraesPARA_EIv1.0_0424490" "Ambiguous"
"TraesCS2A03G0391300" "TraesPARA_EIv1.0_0424450" "Ambiguous"
"TraesCS2A03G0006500" "TraesPARA_EIv1.0_0465460" "Conserved"
"TraesCS2A03G0426500" "TraesPARA_EIv1.0_0420960" "Conserved"
"TraesCS2A03G0430000" "TraesPARA_EIv1.0_0420670" "Ambiguous"
"TraesCS2A03G0431800" "TraesPARA_EIv1.0_0420530" "Trans only"
"TraesCS2A03G0435100" "TraesPARA_EIv1.0_0420230" "Conserved"
"TraesCS2A03G0446200" "TraesPARA_EIv1.0_0419230" "Conserved"
"TraesCS2A03G0458300" "TraesPARA_EIv1.0_0418080" "Ambiguous"
"TraesCS2A03G0458700" "TraesPARA_EIv1.0_0418060" "Ambiguous"
"TraesCS2A03G0466600" "TraesPARA_EIv1.0_0417080" "Ambiguous"
"TraesCS2A03G0539200" "TraesPARA_EIv1.0_0409670" "Conserved"
"TraesCS2A03G0132800" "TraesPARA_EIv1.0_0449770" "Ambiguous"
"TraesCS2A03G0134500" "TraesPARA_EIv1.0_0449580" "Conserved"
"TraesCS2A03G0134700" "TraesPARA_EIv1.0_0449560" "Conserved"
"TraesCS2A03G0594000" "TraesPARA_EIv1.0_0405140" "Conserved"
"TraesCS2A03G0612900" "TraesPARA_EIv1.0_0402980" "Conserved"
"TraesCS2A03G0156100" "TraesPARA_EIv1.0_0447480" "Ambiguous"
"TraesCS2A03G0016000" "TraesPARA_EIv1.0_0464090" "Conserved"
"TraesCS2A03G0020600" "TraesPARA_EIv1.0_0463710" "Ambiguous"
"TraesCS2A03G0205300" "TraesPARA_EIv1.0_0442470" "Conserved"
"TraesCS2A03G0021300" "TraesPARA_EIv1.0_0463590" "Ambiguous"
"TraesCS2A03G0021400" "TraesPARA_EIv1.0_0463580" "Ambiguous"
"TraesCS2A03G0217300" "TraesPARA_EIv1.0_0441150" "Conserved"
"TraesCS2A03G0220200" "TraesPARA_EIv1.0_0440760" "Ambiguous"
"TraesCS2A03G0220500" "TraesPARA_EIv1.0_0440740" "Ambiguous"
"TraesCS2A03G0240400" "TraesPARA_EIv1.0_0438880" "Ambiguous"
"TraesCS2A03G0246000" "TraesPARA_EIv1.0_0438570" "Ambiguous"
"TraesCS2A03G0252000" "TraesPARA_EIv1.0_0437780" "Ambiguous"
"TraesCS2A03G0261600" "TraesPARA_EIv1.0_0436720" "Ambiguous"
"TraesCS2A03G0263800" "TraesPARA_EIv1.0_0436450" "Ambiguous"
"TraesCS2A03G0270300" "TraesPARA_EIv1.0_0435970" "Ambiguous"
"TraesCS2A03G0272200" "TraesPARA_EIv1.0_0435800" "Conserved"
"TraesCS2A03G0274600" "TraesPARA_EIv1.0_0435550" "Ambiguous"
"TraesCS2A03G0290800" "TraesPARA_EIv1.0_0433950" "Ambiguous"
"TraesCS2A03G0290900" "TraesPARA_EIv1.0_0433930" "Conserved"
"TraesCS2A03G0300400" "TraesPARA_EIv1.0_0433110" "Ambiguous"
"TraesCS2A03G0725000" "TraesPARA_EIv1.0_0392190" "Ambiguous"
"TraesCS2A03G0726100" "TraesPARA_EIv1.0_0392110" "Conserved"
"TraesCS2A03G0727500" "TraesPARA_EIv1.0_0391950" "Conserved"
"TraesCS2A03G0729700" "TraesPARA_EIv1.0_0391720" "Ambiguous"
"TraesCS2A03G0732000" "TraesPARA_EIv1.0_0391580" "Conserved"
"TraesCS2A03G0740500" "TraesPARA_EIv1.0_0390690" "Trans only"
"TraesCS2A03G0743900" "TraesPARA_EIv1.0_0390400" "Conserved"
"TraesCS2A03G0747900" "TraesPARA_EIv1.0_0390040" "Conserved"
"TraesCS2A03G0753100" "TraesPARA_EIv1.0_0389690" "Conserved"
"TraesCS2A03G0753300" "TraesPARA_EIv1.0_0389640" "Conserved"
"TraesCS2A03G0755100" "TraesPARA_EIv1.0_0389510" "Conserved"
"TraesCS2A03G0775000" "TraesPARA_EIv1.0_0387680" "Ambiguous"
"TraesCS2A03G0776400" "TraesPARA_EIv1.0_0387500" "Ambiguous"
"TraesCS2A03G0779600" "TraesPARA_EIv1.0_0387180" "Conserved"
"TraesCS2A03G0784800" "TraesPARA_EIv1.0_0386780" "Ambiguous"
"TraesCS2A03G0785800" "TraesPARA_EIv1.0_0386720" "Conserved"
"TraesCS2A03G0786100" "TraesPARA_EIv1.0_0386700" "Ambiguous"
"TraesCS2A03G0786900" "TraesPARA_EIv1.0_0386680" "Ambiguous"
"TraesCS2A03G0818700" "TraesPARA_EIv1.0_0383360" "Conserved"
"TraesCS2A03G0819300" "TraesPARA_EIv1.0_0383310" "Ambiguous"
"TraesCS2A03G0819400" "TraesPARA_EIv1.0_0383290" "Conserved"
"TraesCS2A03G0831200" "TraesPARA_EIv1.0_0382210" "Ambiguous"
"TraesCS2A03G0832800" "TraesPARA_EIv1.0_0382110" "Ambiguous"
"TraesCS2A03G0865300" "TraesPARA_EIv1.0_0379100" "Ambiguous"
"TraesCS2A03G0642400" "TraesPARA_EIv1.0_0400240" "Conserved"
"TraesCS2A03G0879100" "TraesPARA_EIv1.0_0377750" "Ambiguous"
"TraesCS2A03G0888500" "TraesPARA_EIv1.0_0376740" "Ambiguous"
"TraesCS2A03G0897700" "TraesPARA_EIv1.0_0375700" "Ambiguous"
"TraesCS2A03G0903600" "TraesPARA_EIv1.0_0375220" "Ambiguous"
"TraesCS2A03G0922400" "TraesPARA_EIv1.0_0373550" "Ambiguous"
"TraesCS2A03G0922900" "TraesPARA_EIv1.0_0373490" "Ambiguous"
"TraesCS2A03G0934600" "TraesPARA_EIv1.0_0372350" "Ambiguous"
"TraesCS2A03G0945200" "TraesPARA_EIv1.0_0370980" "Conserved"
"TraesCS2A03G0645300" "TraesPARA_EIv1.0_0399800" "Ambiguous"
"TraesCS2A03G0956400" "TraesPARA_EIv1.0_0369820" "Ambiguous"
"TraesCS2A03G0646200" "TraesPARA_EIv1.0_0399680" "Ambiguous"
"TraesCS2A03G0999000" "TraesPARA_EIv1.0_0365950" "Ambiguous"
"TraesCS2A03G0647400" "TraesPARA_EIv1.0_0399590" "Ambiguous"
"TraesCS2A03G0648200" "TraesPARA_EIv1.0_0399510" "Ambiguous"
"TraesCS2A03G0617700" "TraesPARA_EIv1.0_0402380" "Ambiguous"
"TraesCS2A03G1050800" "TraesPARA_EIv1.0_0361170" "Ambiguous"
"TraesCS2A03G1051300" "TraesPARA_EIv1.0_0361130" "Conserved"
"TraesCS2A03G1066500" "TraesPARA_EIv1.0_0359580" "Conserved"
"TraesCS2A03G1067700" "TraesPARA_EIv1.0_0359400" "Ambiguous"
"TraesCS2A03G1073000" "TraesPARA_EIv1.0_0358850" "Conserved"
"TraesCS2A03G1074800" "TraesPARA_EIv1.0_0358640" "Ambiguous"
"TraesCS2A03G1080700" "TraesPARA_EIv1.0_0358070" "Conserved"
"TraesCS2A03G1081100" "TraesPARA_EIv1.0_0358050" "Conserved"
"TraesCS2A03G1145500" "TraesPARA_EIv1.0_0351860" "Ambiguous"
"TraesCS2A03G1162800" "TraesPARA_EIv1.0_0350320" "Conserved"
"TraesCS2A03G1164100" "TraesPARA_EIv1.0_0350270" "Conserved"
"TraesCS2A03G1165100" "TraesPARA_EIv1.0_0350130" "Conserved"
"TraesCS2A03G1169300" "TraesPARA_EIv1.0_0349640" "Conserved"
"TraesCS2A03G1177800" "TraesPARA_EIv1.0_0348750" "Conserved"
"TraesCS2A03G1182500" "TraesPARA_EIv1.0_0348230" "Conserved"
"TraesCS2A03G1185500" "TraesPARA_EIv1.0_0348180" "Ambiguous"
"TraesCS2A03G1188200" "TraesPARA_EIv1.0_0347960" "Conserved"
"TraesCS2A03G1196500" "TraesPARA_EIv1.0_0346980" "Trans only"
"TraesCS2A03G1206400" "TraesPARA_EIv1.0_0345880" "Conserved"
"TraesCS2A03G1209400" "TraesPARA_EIv1.0_0345670" "Conserved"
"TraesCS2A03G1211800" "TraesPARA_EIv1.0_0345410" "Ambiguous"
"TraesCS2A03G1212400" "TraesPARA_EIv1.0_0345320" "Ambiguous"
"TraesCS2A03G1215100" "TraesPARA_EIv1.0_0345010" "Conserved"
"TraesCS2A03G1220500" "TraesPARA_EIv1.0_0344570" "Conserved"
"TraesCS2A03G1223500" "TraesPARA_EIv1.0_0344310" "Ambiguous"
"TraesCS2A03G1243300" "TraesPARA_EIv1.0_0342210" "Conserved"
"TraesCS2A03G1244900" "TraesPARA_EIv1.0_0342000" "Ambiguous"
"TraesCS2A03G1245900" "TraesPARA_EIv1.0_0341850" "Ambiguous"
"TraesCS2A03G1246600" "TraesPARA_EIv1.0_0341800" "Ambiguous"
"TraesCS2A03G1251300" "TraesPARA_EIv1.0_0341210" "Conserved"
"TraesCS2A03G1256000" "TraesPARA_EIv1.0_0340700" "Conserved"
"TraesCS2A03G1264200" "TraesPARA_EIv1.0_0340030" "Ambiguous"
"TraesCS2A03G1272900" "TraesPARA_EIv1.0_0339460" "Conserved"
"TraesCS2A03G1274900" "TraesPARA_EIv1.0_0339300" "Conserved"
"TraesCS2A03G1275200" "TraesPARA_EIv1.0_0339270" "Conserved"
"TraesCS2A03G1281600" "TraesPARA_EIv1.0_0338900" "Conserved"
"TraesCS2A03G1281700" "TraesPARA_EIv1.0_0338880" "Ambiguous"
"TraesCS2A03G1285500" "TraesPARA_EIv1.0_0338440" "Ambiguous"
"TraesCS2A03G1292000" "TraesPARA_EIv1.0_0337590" "Ambiguous"
"TraesCS2A03G1293100" "TraesPARA_EIv1.0_0337490" "Conserved"
"TraesCS2A03G1307900" "TraesPARA_EIv1.0_0335630" "Ambiguous"
"TraesCS2A03G1308700" "TraesPARA_EIv1.0_0335560" "Ambiguous"
"TraesCS2A03G1308900" "TraesPARA_EIv1.0_0335550" "Conserved"
"TraesCS2A03G1313500" "TraesPARA_EIv1.0_0335110" "Ambiguous"
"TraesCS2A03G1324400" "TraesPARA_EIv1.0_0334130" "Ambiguous"
"TraesCS2A03G1358800" "TraesPARA_EIv1.0_0331380" "Ambiguous"
"TraesCS2A03G1360500" "TraesPARA_EIv1.0_0331290" "Ambiguous"
"TraesCS2A03G1367200" "TraesPARA_EIv1.0_0330550" "Ambiguous"
"TraesCS2A03G1372000" "TraesPARA_EIv1.0_0330220" "Ambiguous"
"TraesCS2A03G0660500" "TraesPARA_EIv1.0_0398300" "Trans only"
"TraesCS2A03G0664500" "TraesPARA_EIv1.0_0397830" "Trans only"
"TraesCS2A03G0673900" "TraesPARA_EIv1.0_0397110" "Conserved"
"TraesCS2A03G0676100" "TraesPARA_EIv1.0_0396930" "Conserved"
"TraesCS2A03G0677500" "TraesPARA_EIv1.0_0396810" "Conserved"
"TraesCS2A03G0687300" "TraesPARA_EIv1.0_0395880" "Ambiguous"
"TraesCS2A03G0692900" "TraesPARA_EIv1.0_0395510" "Conserved"
"TraesCS2A03G0697300" "TraesPARA_EIv1.0_0395100" "Conserved"
"TraesCS2A03G0699000" "TraesPARA_EIv1.0_0394990" "Ambiguous"
"TraesCS2A03G0705500" "TraesPARA_EIv1.0_0394390" "Ambiguous"
"TraesCS2A03G0709800" "TraesPARA_EIv1.0_0393860" "Ambiguous"
"TraesCS2B03G0304900" "TraesPARA_EIv1.0_0590580" "Ambiguous"
"TraesCS2B03G0308400" "TraesPARA_EIv1.0_0590100" "Conserved"
"TraesCS2B03G0336600" "TraesPARA_EIv1.0_0587090" "Conserved"
"TraesCS2B03G0343400" "TraesPARA_EIv1.0_0586380" "Ambiguous"
"TraesCS2B03G0360700" "TraesPARA_EIv1.0_0585020" "Conserved"
"TraesCS2B03G0367700" "TraesPARA_EIv1.0_0584290" "Ambiguous"
"TraesCS2B03G0383400" "TraesPARA_EIv1.0_0583180" "Ambiguous"
"TraesCS2B03G0383800" "TraesPARA_EIv1.0_0583130" "Conserved"
"TraesCS2B03G0425100" "TraesPARA_EIv1.0_0579380" "Conserved"
"TraesCS2B03G0426100" "TraesPARA_EIv1.0_0579290" "Ambiguous"
"TraesCS2B03G0427400" "TraesPARA_EIv1.0_0579130" "Ambiguous"
"TraesCS2B03G0431200" "TraesPARA_EIv1.0_0578370" "Ambiguous"
"TraesCS2B03G0432300" "TraesPARA_EIv1.0_0578450" "Conserved"
"TraesCS2B03G0434400" "TraesPARA_EIv1.0_0578640" "Ambiguous"
"TraesCS2B03G0436800" "TraesPARA_EIv1.0_0578150" "Conserved"
"TraesCS2B03G0455000" "TraesPARA_EIv1.0_0576260" "Conserved"
"TraesCS2B03G0455900" "TraesPARA_EIv1.0_0576200" "Conserved"
"TraesCS2B03G0456000" "TraesPARA_EIv1.0_0576190" "Ambiguous"
"TraesCS2B03G0456400" "TraesPARA_EIv1.0_0576130" "Ambiguous"
"TraesCS2B03G0467200" "TraesPARA_EIv1.0_0575090" "Conserved"
"TraesCS2B03G0478800" "TraesPARA_EIv1.0_0573990" "Ambiguous"
"TraesCS2B03G0478900" "TraesPARA_EIv1.0_0573980" "Trans only"
"TraesCS2B03G0483000" "TraesPARA_EIv1.0_0573600" "Conserved"
"TraesCS2B03G0485200" "TraesPARA_EIv1.0_0573380" "Ambiguous"
"TraesCS2B03G0491200" "TraesPARA_EIv1.0_0572880" "Conserved"
"TraesCS2B03G0491900" "TraesPARA_EIv1.0_0572790" "Conserved"
"TraesCS2B03G0492100" "TraesPARA_EIv1.0_0572740" "Conserved"
"TraesCS2B03G0518600" "TraesPARA_EIv1.0_0569730" "Conserved"
"TraesCS2B03G0520900" "TraesPARA_EIv1.0_0569530" "Ambiguous"
"TraesCS2B03G0522200" "TraesPARA_EIv1.0_0569450" "Conserved"
"TraesCS2B03G0535000" "TraesPARA_EIv1.0_0568160" "Conserved"
"TraesCS2B03G0557200" "TraesPARA_EIv1.0_0565740" "Ambiguous"
"TraesCS2B03G0562400" "TraesPARA_EIv1.0_0565300" "Conserved"
"TraesCS2B03G0577800" "TraesPARA_EIv1.0_0564030" "Conserved"
"TraesCS2B03G0579800" "TraesPARA_EIv1.0_0563820" "Ambiguous"
"TraesCS2B03G0580300" "TraesPARA_EIv1.0_0563760" "Conserved"
"TraesCS2B03G0125700" "TraesPARA_EIv1.0_0609360" "Ambiguous"
"TraesCS2B03G0647200" "TraesPARA_EIv1.0_0556380" "Conserved"
"TraesCS2B03G0699900" "TraesPARA_EIv1.0_0551860" "Ambiguous"
"TraesCS2B03G0701500" "TraesPARA_EIv1.0_0551690" "Ambiguous"
"TraesCS2B03G0179300" "TraesPARA_EIv1.0_0603750" "Conserved"
"TraesCS2B03G0179600" "TraesPARA_EIv1.0_0603730" "Conserved"
"TraesCS2B03G0297300" "TraesPARA_EIv1.0_0591400" "Conserved"
"TraesCS2B03G0304300" "TraesPARA_EIv1.0_0590660" "Ambiguous"
"TraesCS2B03G0906400" "TraesPARA_EIv1.0_0533110" "Ambiguous"
"TraesCS2B03G0922700" "TraesPARA_EIv1.0_0531670" "Ambiguous"
"TraesCS2B03G0944400" "TraesPARA_EIv1.0_0529370" "Ambiguous"
"TraesCS2B03G0952500" "TraesPARA_EIv1.0_0528610" "Ambiguous"
"TraesCS2B03G0958900" "TraesPARA_EIv1.0_0528060" "Ambiguous"
"TraesCS2B03G0960000" "TraesPARA_EIv1.0_0527950" "Ambiguous"
"TraesCS2B03G0962800" "TraesPARA_EIv1.0_0527640" "Ambiguous"
"TraesCS2B03G0965300" "TraesPARA_EIv1.0_0527340" "Ambiguous"
"TraesCS2B03G0967600" "TraesPARA_EIv1.0_0527100" "Ambiguous"
"TraesCS2B03G0967800" "TraesPARA_EIv1.0_0527070" "Ambiguous"
"TraesCS2B03G0969100" "TraesPARA_EIv1.0_0526970" "Ambiguous"
"TraesCS2B03G0988500" "TraesPARA_EIv1.0_0525130" "Conserved"
"TraesCS2B03G0999500" "TraesPARA_EIv1.0_0524030" "Conserved"
"TraesCS2B03G1004500" "TraesPARA_EIv1.0_0523530" "Conserved"
"TraesCS2B03G1006100" "TraesPARA_EIv1.0_0523420" "Ambiguous"
"TraesCS2B03G1013400" "TraesPARA_EIv1.0_0523020" "Ambiguous"
"TraesCS2B03G1043800" "TraesPARA_EIv1.0_0520110" "Ambiguous"
"TraesCS2B03G1045600" "TraesPARA_EIv1.0_0519910" "Conserved"
"TraesCS2B03G1047700" "TraesPARA_EIv1.0_0519720" "Ambiguous"
"TraesCS2B03G1060400" "TraesPARA_EIv1.0_0518650" "Conserved"
"TraesCS2B03G1066100" "TraesPARA_EIv1.0_0518000" "Conserved"
"TraesCS2B03G1068300" "TraesPARA_EIv1.0_0517860" "Ambiguous"
"TraesCS2B03G1069500" "TraesPARA_EIv1.0_0517740" "Ambiguous"
"TraesCS2B03G1093200" "TraesPARA_EIv1.0_0515680" "Conserved"
"TraesCS2B03G1098200" "TraesPARA_EIv1.0_0515180" "Ambiguous"
"TraesCS2B03G0783600" "TraesPARA_EIv1.0_0544390" "Ambiguous"
"TraesCS2B03G0784700" "TraesPARA_EIv1.0_0544320" "Ambiguous"
"TraesCS2B03G0784800" "TraesPARA_EIv1.0_0544300" "Ambiguous"
"TraesCS2B03G1130900" "TraesPARA_EIv1.0_0511760" "Conserved"
"TraesCS2B03G1135100" "TraesPARA_EIv1.0_0511280" "Ambiguous"
"TraesCS2B03G1138000" "TraesPARA_EIv1.0_0511050" "Ambiguous"
"TraesCS2B03G1138100" "TraesPARA_EIv1.0_0511020" "Conserved"
"TraesCS2B03G1138900" "TraesPARA_EIv1.0_0510940" "Ambiguous"
"TraesCS2B03G1149700" "TraesPARA_EIv1.0_0509770" "Conserved"
"TraesCS2B03G1152000" "TraesPARA_EIv1.0_0509590" "Conserved"
"TraesCS2B03G1159800" "TraesPARA_EIv1.0_0508870" "Ambiguous"
"TraesCS2B03G1160400" "TraesPARA_EIv1.0_0508810" "Conserved"
"TraesCS2B03G1168200" "TraesPARA_EIv1.0_0508190" "Conserved"
"TraesCS2B03G1169000" "TraesPARA_EIv1.0_0508120" "Conserved"
"TraesCS2B03G1173900" "TraesPARA_EIv1.0_0507700" "Conserved"
"TraesCS2B03G0787700" "TraesPARA_EIv1.0_0543970" "Ambiguous"
"TraesCS2B03G0789000" "TraesPARA_EIv1.0_0543860" "Ambiguous"
"TraesCS2B03G1203800" "TraesPARA_EIv1.0_0504280" "Ambiguous"
"TraesCS2B03G1206500" "TraesPARA_EIv1.0_0504030" "Ambiguous"
"TraesCS2B03G0790800" "TraesPARA_EIv1.0_0543670" "Ambiguous"
"TraesCS2B03G1235600" "TraesPARA_EIv1.0_0501430" "Ambiguous"
"TraesCS2B03G1235700" "TraesPARA_EIv1.0_0501420" "Ambiguous"
"TraesCS2B03G1257700" "TraesPARA_EIv1.0_0499250" "Ambiguous"
"TraesCS2B03G1274400" "TraesPARA_EIv1.0_0497560" "Ambiguous"
"TraesCS2B03G1276300" "TraesPARA_EIv1.0_0497360" "Ambiguous"
"TraesCS2B03G1282700" "TraesPARA_EIv1.0_0496810" "Ambiguous"
"TraesCS2B03G1295000" "TraesPARA_EIv1.0_0495750" "Ambiguous"
"TraesCS2B03G0793300" "TraesPARA_EIv1.0_0543390" "Ambiguous"
"TraesCS2B03G1304900" "TraesPARA_EIv1.0_0494870" "Ambiguous"
"TraesCS2B03G0793700" "TraesPARA_EIv1.0_0543360" "Conserved"
"TraesCS2B03G1305800" "TraesPARA_EIv1.0_0494780" "Ambiguous"
"TraesCS2B03G1305900" "TraesPARA_EIv1.0_0494770" "Ambiguous"
"TraesCS2B03G1307000" "TraesPARA_EIv1.0_0494650" "Conserved"
"TraesCS2B03G1308200" "TraesPARA_EIv1.0_0494560" "Conserved"
"TraesCS2B03G1326100" "TraesPARA_EIv1.0_0492890" "Ambiguous"
"TraesCS2B03G1326200" "TraesPARA_EIv1.0_0492880" "Ambiguous"
"TraesCS2B03G1334300" "TraesPARA_EIv1.0_0492180" "Ambiguous"
"TraesCS2B03G1339200" "TraesPARA_EIv1.0_0491680" "Conserved"
"TraesCS2B03G1346000" "TraesPARA_EIv1.0_0491010" "Ambiguous"
"TraesCS2B03G1367900" "TraesPARA_EIv1.0_0489070" "Ambiguous"
"TraesCS2B03G1371300" "TraesPARA_EIv1.0_0488720" "Ambiguous"
"TraesCS2B03G1380700" "TraesPARA_EIv1.0_0487760" "Ambiguous"
"TraesCS2B03G1389200" "TraesPARA_EIv1.0_0486860" "Conserved"
"TraesCS2B03G1392500" "TraesPARA_EIv1.0_0486510" "Ambiguous"
"TraesCS2B03G1408300" "TraesPARA_EIv1.0_0484990" "Conserved"
"TraesCS2B03G1408600" "TraesPARA_EIv1.0_0484970" "Conserved"
"TraesCS2B03G1431800" "TraesPARA_EIv1.0_0481950" "Conserved"
"TraesCS2B03G1446000" "TraesPARA_EIv1.0_0480710" "Trans only"
"TraesCS2B03G1457000" "TraesPARA_EIv1.0_0479850" "Ambiguous"
"TraesCS2B03G1468500" "TraesPARA_EIv1.0_0478770" "Ambiguous"
"TraesCS2B03G1468800" "TraesPARA_EIv1.0_0478720" "Conserved"
"TraesCS2B03G1473200" "TraesPARA_EIv1.0_0478250" "Ambiguous"
"TraesCS2B03G1489800" "TraesPARA_EIv1.0_0476300" "Ambiguous"
"TraesCS2B03G1492200" "TraesPARA_EIv1.0_0476000" "Conserved"
"TraesCS2B03G1499000" "TraesPARA_EIv1.0_0475270" "Conserved"
"TraesCS2B03G1505400" "TraesPARA_EIv1.0_0474660" "Ambiguous"
"TraesCS2B03G1509500" "TraesPARA_EIv1.0_0474300" "Ambiguous"
"TraesCS2B03G1511400" "TraesPARA_EIv1.0_0474130" "Ambiguous"
"TraesCS2B03G1526300" "TraesPARA_EIv1.0_0472660" "Ambiguous"
"TraesCS2B03G1527800" "TraesPARA_EIv1.0_0472550" "Conserved"
"TraesCS2B03G0800800" "TraesPARA_EIv1.0_0542550" "Ambiguous"
"TraesCS2B03G1562400" "TraesPARA_EIv1.0_0468110" "Ambiguous"
"TraesCS2B03G0802000" "TraesPARA_EIv1.0_0542440" "Conserved"
"TraesCS2B03G0821500" "TraesPARA_EIv1.0_0540640" "Conserved"
"TraesCS2B03G0822900" "TraesPARA_EIv1.0_0540480" "Conserved"
"TraesCS2B03G0829200" "TraesPARA_EIv1.0_0540020" "Ambiguous"
"TraesCS2B03G0873700" "TraesPARA_EIv1.0_0536300" "Ambiguous"
"TraesCS2B03G0887400" "TraesPARA_EIv1.0_0535210" "Ambiguous"
"TraesCS2D03G0324300" "TraesPARA_EIv1.0_0660080" "Conserved"
"TraesCS2D03G0353400" "TraesPARA_EIv1.0_0663090" "Ambiguous"
"TraesCS2D03G0356800" "TraesPARA_EIv1.0_0663510" "Ambiguous"
"TraesCS2D03G0055600" "TraesPARA_EIv1.0_0629730" "Ambiguous"
"TraesCS2D03G0368800" "TraesPARA_EIv1.0_0664860" "Ambiguous"
"TraesCS2D03G0072700" "TraesPARA_EIv1.0_0632320" "Ambiguous"
"TraesCS2D03G0128900" "TraesPARA_EIv1.0_0639520" "Conserved"
"TraesCS2D03G0606700" "TraesPARA_EIv1.0_0691000" "Conserved"
"TraesCS2D03G0140800" "TraesPARA_EIv1.0_0640700" "Ambiguous"
"TraesCS2D03G0612400" "TraesPARA_EIv1.0_0691610" "Conserved"
"TraesCS2D03G0614200" "TraesPARA_EIv1.0_0691830" "Ambiguous"
"TraesCS2D03G0193800" "TraesPARA_EIv1.0_0646280" "Ambiguous"
"TraesCS2D03G0220600" "TraesPARA_EIv1.0_0649450" "Ambiguous"
"TraesCS2D03G0238000" "TraesPARA_EIv1.0_0651280" "Ambiguous"
"TraesCS2D03G0248600" "TraesPARA_EIv1.0_0652300" "Conserved"
"TraesCS2D03G0253100" "TraesPARA_EIv1.0_0652730" "Ambiguous"
"TraesCS2D03G0258000" "TraesPARA_EIv1.0_0653460" "Trans only"
"TraesCS2D03G0268800" "TraesPARA_EIv1.0_0654330" "Conserved"
"TraesCS2D03G0269000" "TraesPARA_EIv1.0_0654350" "Conserved"
"TraesCS2D03G0279000" "TraesPARA_EIv1.0_0655340" "Conserved"
"TraesCS2D03G0280300" "TraesPARA_EIv1.0_0655520" "Ambiguous"
"TraesCS2D03G0291600" "TraesPARA_EIv1.0_0656510" "Ambiguous"
"TraesCS2D03G0307200" "TraesPARA_EIv1.0_0658130" "Ambiguous"
"TraesCS2D03G0314300" "TraesPARA_EIv1.0_0658890" "Ambiguous"
"TraesCS2D03G0844600" "TraesPARA_EIv1.0_0716240" "Ambiguous"
"TraesCS2D03G0859600" "TraesPARA_EIv1.0_0717600" "Ambiguous"
"TraesCS2D03G0904200" "TraesPARA_EIv1.0_0722420" "Ambiguous"
"TraesCS2D03G0935500" "TraesPARA_EIv1.0_0725850" "Ambiguous"
"TraesCS2D03G0975100" "TraesPARA_EIv1.0_0730670" "Ambiguous"
"TraesCS2D03G1005400" "TraesPARA_EIv1.0_0733800" "Conserved"
"TraesCS2D03G1095400" "TraesPARA_EIv1.0_0743950" "Conserved"
"TraesCS2D03G1129100" "TraesPARA_EIv1.0_0747170" "Ambiguous"
"TraesCS2D03G1129400" "TraesPARA_EIv1.0_0747250" "Conserved"
"TraesCS2D03G1151400" "TraesPARA_EIv1.0_0749210" "Ambiguous"
"TraesCS2D03G1200800" "TraesPARA_EIv1.0_0754180" "Ambiguous"
"TraesCS2D03G1204900" "TraesPARA_EIv1.0_0754610" "Ambiguous"
"TraesCS2D03G1207000" "TraesPARA_EIv1.0_0754980" "Conserved"
"TraesCS2D03G1207700" "TraesPARA_EIv1.0_0755030" "Ambiguous"
"TraesCS2D03G1320900" "TraesPARA_EIv1.0_0766660" "Conserved"
"TraesCS2D03G1329800" "TraesPARA_EIv1.0_0767590" "Conserved"
"TraesCS2D03G1334500" "TraesPARA_EIv1.0_0768500" "Ambiguous"
"TraesCS2D03G0671700" "TraesPARA_EIv1.0_0698500" "Conserved"
"TraesCS3A03G0295600" "TraesPARA_EIv1.0_0798830" "Conserved"
"TraesCS3A03G0296700" "TraesPARA_EIv1.0_0798940" "Ambiguous"
"TraesCS3A03G0301300" "TraesPARA_EIv1.0_0799290" "Ambiguous"
"TraesCS3A03G0040500" "TraesPARA_EIv1.0_0773380" "Ambiguous"
"TraesCS3A03G0310900" "TraesPARA_EIv1.0_0800200" "Conserved"
"TraesCS3A03G0046100" "TraesPARA_EIv1.0_0773960" "Conserved"
"TraesCS3A03G0332300" "TraesPARA_EIv1.0_0802530" "Ambiguous"
"TraesCS3A03G0053500" "TraesPARA_EIv1.0_0774890" "Ambiguous"
"TraesCS3A03G0348200" "TraesPARA_EIv1.0_0804090" "Ambiguous"
