CS11.A	CS11.B	CS11.D
TraesCS6A02G166400.1	TraesCS6B02G205700.1	"TraesCS6D02G165900.1, TraesCS6D02G155000.1"
TraesCS6A02G329900.1	TraesCS6B02G360700.1	TraesCS6D02G308800.1
TraesCS6A02G372400.1	TraesCS6B02G410200.1	TraesCS6D02G356500.1
TraesCS7A02G127700.2	TraesCS7B02G027600.3	TraesCS7D02G126300.1
TraesCS7A02G142900.1	TraesCS7B02G044700.1	TraesCS7D02G144300.1
TraesCS7A02G185700.1	TraesCS7B02G090900.1	TraesCS7D02G187400.1
TraesCS7A02G203100.1	TraesCS7B02G110300.1	TraesCS7D02G206400.1
TraesCS7A02G320000.1	TraesCS7B02G221100.2	TraesCS7D02G316700.1
TraesCS7A02G391100.1	TraesCS7B02G292700.1	TraesCS7D02G386600.1
TraesCS7A02G453000.1	TraesCS7B02G353200.1	TraesCS7D02G442300.1
TraesCS6A02G293300.1	TraesCS6B02G323500.1	TraesCS6D02G274200.1
TraesCS1A02G166900.2	TraesCS1B02G183200.1	TraesCS1D02G174000.2
TraesCS1A02G202600.1	TraesCS1B02G216700.1	TraesCS1D02G205900.1
TraesCS1A02G238900.1	TraesCS1B02G251000.1	TraesCS1D02G239100.1
TraesCS1A02G277000.2	TraesCS1B02G286100.1	TraesCS1D02G276400.1
TraesCS1A02G371000.1	"TraesCS1B02G390200.1, TraesCS1B02G390300.1"	"TraesCS1D02G377200.1, TraesCS1D02G377100.1"
TraesCS1A02G382800.1	TraesCS1B02G408200.1	TraesCS1D02G390500.1
TraesCS2A02G037800.2	TraesCS2B02G051000.1	"TraesCS5D02G419100.1, TraesCS2D02G036800.1"
TraesCS2A02G053100.1	TraesCS2B02G067000.3	TraesCS2D02G053300.1
"TraesCS2A02G148900.1, TraesCS2A02G148600.1"	"TraesCS2B02G173600.1, TraesCS2B02G173800.1, TraesCS2B02G173900.1"	TraesCS2D02G153700.1
TraesCS2A02G358000.2	TraesCS2B02G377300.1	TraesCS2D02G356800.1
TraesCS2A02G383600.1	TraesCS2B02G400600.1	TraesCS2D02G379700.1
TraesCS3A02G490900.1	TraesCS3B02G552000.1	TraesCS3D02G496900.1
TraesCS3A02G178400.1	"TraesCS3B02G206900.1, TraesCS3B02G206800.1"	TraesCS3D02G182600.1
"TraesCS7A02G067900.2, TraesCS3A02G344500.1"	TraesCS3B02G376400.1	TraesCS3D02G338000.1
TraesCS3A02G387300.1	TraesCS3B02G421500.3	TraesCS3D02G382000.1
"TraesCS3A02G467000.1, TraesCS3A02G469200.1"	"TraesCS3B02G512700.1, TraesCS3B02G511200.1"	TraesCS3D02G463000.1
TraesCS4A02G078000.1	TraesCS4B02G234100.1	TraesCS4D02G235200.1
TraesCS5A02G043500.1	TraesCS5B02G047300.1	TraesCS5D02G052400.1
TraesCS4A02G221500.1	TraesCS4B02G099700.1	TraesCS4D02G095900.1
"TraesCS4A02G285200.1, TraesCS4A02G287500.1"	"TraesCS4B02G026800.1, TraesCS6B02G430300.1"	TraesCS4D02G024500.1
TraesCS5A02G006200.1	TraesCS5B02G005100.1	TraesCS5D02G006000.1
"TraesCS6A02G294600.1, TraesCS7A02G044600.1"	TraesCS5B02G526200.1	TraesCS1D02G330400.1
"TraesCS4A02G396000.1, TraesCS4A02G396100.1, TraesCS7A02G096000.1"	TraesCS7B02G092100.1	"TraesCS7D02G091800.1, TraesCS7D02G091900.1, TraesCS7D02G187900.1"
TraesCS5A02G353300.1	TraesCS5B02G355700.1	TraesCS5D02G360400.1
TraesCS5A02G144100.1	TraesCS5B02G143200.1	TraesCS5D02G147900.1
TraesCS5A02G160900.1	TraesCS5B02G158300.1	TraesCS5D02G165800.2
TraesCS5A02G172100.1	TraesCS5B02G169500.1	TraesCS5D02G176800.1
TraesCS5A02G282200.1	TraesCS5B02G281600.1	TraesCS5D02G289300.2
TraesCS5A02G353700.1	TraesCS5B02G356300.1	TraesCS5D02G361000.1
TraesCS5A02G392700.1	TraesCS5B02G397600.1	TraesCS5D02G402600.1
TraesCS5A02G404100.1	TraesCS5B02G408800.1	TraesCS5D02G414300.1
TraesCS6A02G367200.1	TraesCS6B02G402500.1	TraesCS6D02G350200.1
TraesCS7A02G127400.1	TraesCS7B02G027100.1	TraesCS7D02G125900.1
TraesCS6A02G336700.1	"TraesCS6B02G247700.1, TraesCS6B02G373600.1, TraesCS6B02G373400.1"	"TraesCS6D02G322000.1, TraesCS6D02G316300.1"
"TraesCS6A02G407200.1, TraesCS6A02G407300.1"	"TraesCS6B02G452700.1, TraesCS6B02G452500.1"	TraesCS6D02G391200.1
TraesCS7A02G552700.1	TraesCS7B02G476400.1	TraesCS7D02G539200.1
TraesCS3A02G520600.1	TraesCS3B02G590000.1	TraesCS3D02G528600.1
TraesCS1A02G320000.1	TraesCS1B02G332200.1	TraesCS1D02G319700.1
TraesCS1A02G326600.1	TraesCS1B02G340000.1	TraesCS1D02G328700.1
TraesCS3A02G475600.1	TraesCS3B02G519100.1	TraesCS3D02G470900.1
TraesCS5A02G169400.1	TraesCS5B02G166200.2	TraesCS5D02G173800.1
TraesCS2A02G052600.1	TraesCS2B02G066900.1	TraesCS2D02G052700.1
TraesCS2A02G112400.1	TraesCS2B02G131200.1	TraesCS2D02G112900.1
TraesCS5A02G266500.2	TraesCS5B02G266100.1	TraesCS5D02G274300.1
TraesCS2A02G448500.1	"TraesCS1B02G387900.1, TraesCS2B02G469300.1, TraesCS2B02G469200.1"	"TraesCS1D02G374800.1, TraesCS7D02G102200.1"
TraesCS2A02G584600.1	TraesCS2B02G598500.1	TraesCS2D02G601600.2
TraesCS3A02G072600.2	TraesCS3B02G086700.2	TraesCS3D02G072300.2
TraesCS6A02G311200.1	TraesCS6B02G341400.1	TraesCS6D02G290500.2
TraesCS4A02G282000.1	TraesCS4B02G031100.1	TraesCS4D02G028600.1
TraesCS4A02G326600.1	"TraesCS5B02G539200.1, TraesCS5B02G539400.1"	TraesCS5D02G549000.1
TraesCS5A02G447200.1	TraesCS5B02G449500.1	TraesCS5D02G452500.1
"TraesCS7A02G075300.1, TraesCS4A02G383600.1, TraesCS4A02G373400.1"	TraesCS1B02G059300.1	"TraesCS7D02G070800.1, TraesCS1D02G046600.1"
TraesCS7A02G144600.3	TraesCS7B02G047100.4	TraesCS7D02G146100.2
TraesCS5A02G212100.1	TraesCS5B02G211700.1	TraesCS5D02G221800.1
TraesCS7A02G499200.1	TraesCS7B02G406200.1	TraesCS7D02G486100.1
TraesCS5A02G266900.1	TraesCS5B02G266500.1	TraesCS5D02G274800.1
TraesCS5A02G318500.3	TraesCS5B02G319000.2	TraesCS5D02G324800.3
TraesCS6A02G391100.1	"TraesCS6B02G430600.1, TraesCS6B02G430700.1"	TraesCS6D02G376500.1
TraesCS6A02G411800.1	"TraesCS6B02G457700.1, TraesCS6B02G459200.1, TraesCS6B02G459500.1, TraesCS6B02G458900.1, TraesCS6B02G457900.1, TraesCS6B02G458100.1, TraesCS6B02G458300.1"	TraesCS6D02G394500.1
TraesCS7A02G154700.1	TraesCS7B02G058800.1	"TraesCS7D02G154900.2, TraesCS7D02G154800.1"
TraesCS1A02G379100.1	"TraesCS1B02G400600.1, TraesCS1B02G400800.1"	"TraesCS1D02G386200.1, TraesCS1D02G386205.1"
TraesCS2A02G028000.1	"TraesCS2B02G040600.1, TraesCS2B02G040500.1"	TraesCS2D02G029800.1
TraesCS2A02G159200.1	TraesCS2B02G184800.1	"TraesCS2D02G166300.1, TraesCS2D02G166400.1"
TraesCS2A02G217200.1	TraesCS2B02G242500.1	TraesCS2D02G223000.1
TraesCS2A02G403100.4	TraesCS2B02G421000.2	TraesCS2D02G400200.1
TraesCS3A02G124700.1	"TraesCS3B02G144300.1, TraesCS3B02G143300.1"	"TraesCS3D02G126200.1, TraesCS3D02G126500.1"
TraesCS3A02G357200.1	TraesCS3B02G389800.1	TraesCS3D02G351100.1
TraesCS5A02G442800.1	TraesCS5B02G447300.1	TraesCS5D02G450200.1
TraesCS4A02G164900.2	TraesCS4B02G165400.1	TraesCS4D02G157300.1
"TraesCS4A02G279500.1, TraesCS4A02G182000.1"	"TraesCS3B02G282700.1, TraesCS4B02G032900.1"	TraesCS4D02G031400.1
TraesCS5A02G043200.1	"TraesCS5B02G046900.1, TraesCS5B02G047000.1"	"TraesCS5D02G052100.1, TraesCS5D02G052000.1"
TraesCS5A02G295200.1	TraesCS5B02G294600.1	TraesCS5D02G302800.1
TraesCS6A02G357800.1	TraesCS6B02G390100.2	"TraesCS6D02G340300.1, TraesCS6D02G340400.1"
TraesCS7A02G429100.2	TraesCS7B02G329200.1	TraesCS7D02G421200.1
TraesCS7A02G449400.1	TraesCS7B02G348300.1	TraesCS7D02G437900.1
TraesCS7A02G459100.1	TraesCS7B02G359500.1	TraesCS7D02G447000.1
TraesCS1A02G060700.1	TraesCS1B02G079000.1	TraesCS1D02G061600.1
"TraesCS1A02G199300.1, TraesCS1A02G199400.1"	"TraesCS1B02G214300.1, TraesCS1B02G214200.1"	TraesCS1D02G203100.1
TraesCS3A02G067300.1	TraesCS3B02G080400.1	TraesCS3D02G066900.1
TraesCS1A02G307400.1	TraesCS1B02G318200.1	TraesCS1D02G306800.1
TraesCS3A02G277000.1	TraesCS3B02G311200.1	TraesCS3D02G277200.1
TraesCS5A02G014900.1	TraesCS5B02G013100.1	TraesCS5D02G020800.1
TraesCS2A02G047400.1	TraesCS2B02G059100.1	TraesCS2D02G045600.1
TraesCS2A02G093300.1	TraesCS2B02G107800.1	"TraesCS2D02G092300.1, TraesCS2D02G092200.1"
TraesCS2A02G098700.1	TraesCS2B02G114900.1	TraesCS2D02G098200.1
TraesCS2A02G102900.1	TraesCS2B02G119800.1	"TraesCS2D02G102300.1, TraesCS2D02G106200.1"
TraesCS3A02G498800.1	"TraesCS5B02G531500.1, TraesCS2B02G271400.1"	TraesCS5D02G529900.1
TraesCS2A02G300300.1	TraesCS2B02G316600.1	TraesCS2D02G298200.1
TraesCS2A02G532900.1	TraesCS2B02G562400.1	TraesCS2D02G534700.1
TraesCS2A02G551000.1	"TraesCS2B02G582100.1, TraesCS2B02G581900.1, TraesCS2B02G582000.1"	TraesCS2D02G552100.1
TraesCS3A02G098300.1	TraesCS3B02G113900.1	TraesCS3D02G098700.1
TraesCS3A02G066700.1	TraesCS3B02G079500.1	TraesCS3D02G066400.1
TraesCS7A02G107200.1	TraesCS7B02G005800.1	TraesCS7D02G101600.1
TraesCS4A02G154000.1	TraesCS3B02G343500.1	TraesCS4D02G152400.2
TraesCS3A02G359800.1	"TraesCS2B02G028400.1, TraesCS2B02G027900.1, TraesCS2B02G029100.1"	"TraesCS3D02G354000.1, TraesCS2D02G021300.1"
TraesCS3A02G370700.1	TraesCS3B02G402900.1	TraesCS3D02G363800.1
TraesCS3A02G371800.1	"TraesCS3B02G404200.1, TraesCS3B02G404400.1, TraesCS3B02G404500.1, TraesCS3B02G404300.1"	TraesCS3D02G364900.1
TraesCS3A02G401200.1	"TraesCS3B02G434200.1, TraesCS3B02G434100.1"	"TraesCS3D02G395700.1, TraesCS3D02G395800.1"
TraesCS4A02G259000.1	TraesCS4B02G055700.1	TraesCS4D02G056300.1
TraesCS4A02G289000.1	TraesCS4B02G025900.1	TraesCS4D02G023200.1
TraesCS4A02G304600.1	"TraesCS4B02G006900.1, TraesCS4B02G006600.1"	TraesCS4D02G008500.1
TraesCS4A02G366600.1	"TraesCS4B02G021400.1, TraesCS5B02G506300.1"	TraesCS5D02G506700.2
"TraesCS4A02G375900.1, TraesCS4A02G451100.1, TraesCS7A02G037300.1, TraesCS7A02G077300.1"	TraesCS3B02G103600.1	TraesCS7D02G072900.1
TraesCS6A02G024900.1	TraesCS6B02G034100.1	TraesCS6D02G028200.1
TraesCS6A02G046800.1	TraesCS6B02G062900.1	TraesCS6D02G054000.1
TraesCS6A02G304500.1	TraesCS6B02G333100.1	TraesCS6D02G283900.1
TraesCS7A02G139600.1	TraesCS7B02G041200.1	TraesCS7D02G140900.1
TraesCS7A02G242800.1	TraesCS7B02G148800.1	TraesCS7D02G241500.1
TraesCS7A02G367100.1	TraesCS7B02G261000.1	TraesCS7D02G355600.1
TraesCS7A02G381300.1	TraesCS7B02G283200.1	TraesCS7D02G377600.1
TraesCS7A02G504000.1	TraesCS7B02G411100.1	TraesCS7D02G491100.1
TraesCS1A02G011500.1	TraesCS1B02G414600.1	TraesCS1D02G010500.1
TraesCS5A02G485600.1	"TraesCS5B02G499200.1, TraesCS3B02G162400.1"	TraesCS3D02G145000.1
TraesCS5A02G267100.1	TraesCS5B02G266700.1	TraesCS5D02G275000.1
"TraesCS3A02G147300.1, TraesCS1A02G220500.1, TraesCS1A02G220400.1, TraesCS3A02G147500.1"	TraesCS1B02G233700.1	TraesCS1D02G222000.1
TraesCS2A02G017700.1	"TraesCS2B02G026000.1, TraesCS2B02G026100.1"	"TraesCS2D02G019100.1, TraesCS2D02G018600.1"
TraesCS2A02G379800.1	TraesCS2B02G396700.2	TraesCS2D02G376000.1
TraesCS2A02G471300.1	TraesCS2B02G494100.1	"TraesCS2D02G562700.1, TraesCS2D02G471000.1"
TraesCS7A02G324800.1	TraesCS7B02G225300.2	TraesCS7D02G321200.1
TraesCS2A02G589400.1	TraesCS2B02G594300.1	TraesCS2D02G564700.1
TraesCS3A02G046000.1	TraesCS3B02G037400.1	TraesCS3D02G034200.2
TraesCS3A02G135000.1	TraesCS3B02G168800.1	"TraesCS3D02G151000.1, TraesCS6D02G128300.1"
TraesCS3A02G423400.1	TraesCS3B02G458900.1	"TraesCS2D02G034200.1, TraesCS3D02G418600.1, TraesCS3D02G311500.1, TraesCS2D02G297600.2"
"TraesCS3A02G479100.1, TraesCS3A02G479400.2"	"TraesCS3B02G522600.1, TraesCS3B02G522800.1"	"TraesCS3D02G474000.2, TraesCS3D02G474300.1"
TraesCS3A02G493300.1	"TraesCS3B02G554900.1, TraesCS3B02G555300.1"	TraesCS3D02G500900.1
"TraesCS4A02G285300.1, TraesCS4A02G287200.1"	TraesCS4B02G026900.1	TraesCS4D02G024600.1
TraesCS5A02G385000.1	"TraesCS5B02G389800.1, TraesCS5B02G390000.1, TraesCS5B02G389700.1"	TraesCS5D02G395000.1
TraesCS5A02G388300.1	TraesCS5B02G393900.1	TraesCS5D02G398400.1
TraesCS5A02G404000.1	TraesCS5B02G408700.1	TraesCS5D02G414100.1
TraesCS5A02G423400.1	"TraesCS5B02G425600.1, TraesCS5B02G425500.1"	TraesCS5D02G432000.1
TraesCS7A02G447800.1	TraesCS7B02G348000.1	TraesCS7D02G437500.1
"TraesCS7A02G508400.1, TraesCS7A02G508500.1"	"TraesCS7B02G417600.1, TraesCS7B02G416500.1"	TraesCS7D02G496600.1
TraesCS7A02G534300.1	TraesCS7B02G451400.1	TraesCS7D02G521600.1
TraesCS1A02G159300.1	TraesCS1B02G175700.1	TraesCS1D02G156700.1
TraesCS2A02G209200.1	TraesCS2B02G235200.1	"TraesCS2D02G216000.1, TraesCS2D02G215600.1, TraesCS2D02G215800.1"
TraesCS2A02G474800.1	TraesCS2B02G498400.1	TraesCS2D02G475000.1
TraesCS2A02G534400.2	TraesCS2B02G565000.1	TraesCS2D02G536900.3
TraesCS2A02G491600.1	TraesCS2B02G519700.1	TraesCS2D02G491900.1
TraesCS2A02G495000.1	TraesCS2B02G523200.1	"TraesCS2D02G495300.1, TraesCS2D02G495400.1, TraesCS2D02G495200.1"
TraesCS7A02G328900.1	TraesCS7B02G229600.1	TraesCS7D02G325800.1
TraesCS5A02G259300.1	TraesCS5B02G258100.1	TraesCS5D02G267200.1
"TraesCS2A02G592100.1, TraesCS2A02G592400.1, TraesCS2A02G592200.1, TraesCS2A02G592300.1"	TraesCS2B02G591800.1	"TraesCS2D02G562200.1, TraesCS2D02G562100.1"
TraesCS3A02G221600.1	TraesCS3B02G556800.1	TraesCS2D02G123100.1
TraesCS3A02G320900.1	TraesCS3B02G344900.1	"TraesCS5D02G532000.1, TraesCS6D02G371800.1, TraesCS3D02G310400.1"
TraesCS4A02G236500.1	TraesCS4B02G078500.1	"TraesCS4D02G077300.1, TraesCS4D02G077100.1, TraesCS4D02G077200.1"
TraesCS4A02G400200.1	TraesCS5B02G121500.3	TraesCS5D02G126800.3
TraesCS5A02G464100.1	"TraesCS5B02G475800.1, TraesCS5B02G475500.1, TraesCS5B02G475900.1"	TraesCS5D02G476800.1
TraesCS5A02G510900.1	"TraesCS4B02G341800.1, TraesCS4B02G341900.1, TraesCS3B02G561900.1"	"TraesCS4D02G337400.1, TraesCS3D02G505600.1"
TraesCS5A02G548400.1	TraesCS4B02G382900.1	"TraesCS4D02G358600.1, TraesCS4D02G190000.1, TraesCS5D02G032400.1"
TraesCS5A02G552800.1	"TraesCS4B02G388400.1, TraesCS5B02G534200.1, TraesCS5B02G533900.1"	TraesCS5D02G531900.1
TraesCS6A02G108200.1	TraesCS6B02G136800.1	TraesCS6D02G096200.1
TraesCS7A02G351800.1	TraesCS7B02G276300.1	TraesCS7D02G371100.1
"TraesCS1A02G078400.1, TraesCS1A02G078600.1"	"TraesCS1B02G096400.1, TraesCS1B02G096600.1"	TraesCS1D02G080600.1
TraesCS1A02G419800.1	TraesCS1B02G449800.1	TraesCS1D02G427500.1
TraesCS1A02G422700.2	"TraesCS1B02G454700.1, TraesCS1B02G454000.2"	"TraesCS1D02G431500.1, TraesCS1D02G430900.1"
TraesCS3A02G253300.1	TraesCS3B02G285200.1	TraesCS3D02G254200.1
TraesCS2A02G119400.1	TraesCS1B02G379200.1	TraesCS2D02G120400.1
TraesCS2A02G229100.1	TraesCS2B02G250500.2	TraesCS2D02G233300.1
TraesCS2A02G246600.1	TraesCS2B02G263700.1	TraesCS2D02G248900.1
TraesCS3A02G375000.1	TraesCS3B02G407200.1	TraesCS3D02G367500.1
TraesCS2A02G336800.1	TraesCS2B02G345100.1	TraesCS2D02G326100.1
TraesCS2A02G351300.1	TraesCS2B02G369400.2	TraesCS2D02G349100.1
"TraesCS2A02G358600.1, TraesCS2A02G358500.1, TraesCS2A02G358700.1"	TraesCS2B02G378000.1	TraesCS2D02G357500.1
TraesCS2A02G425000.1	TraesCS2B02G444800.1	TraesCS2D02G423000.1
TraesCS2A02G445500.1	"TraesCS2B02G466400.1, TraesCS2B02G466500.1"	"TraesCS2D02G444200.1, TraesCS2D02G444300.1"
TraesCS3A02G055400.1	TraesCS3B02G067800.1	"TraesCS3D02G054700.1, TraesCS3D02G054800.1, TraesCS3D02G055300.1"
"TraesCS3A02G174600.1, TraesCS3A02G174800.1, TraesCS3A02G057500.1"	TraesCS3B02G069300.1	"TraesCS1D02G378100.1, TraesCS1D02G378000.1"
"TraesCS3A02G460000.1, TraesCS3A02G379500.2"	"TraesCS3B02G503300.1, TraesCS3B02G499800.1"	TraesCS3D02G452800.1
TraesCS3A02G388600.1	"TraesCS3B02G420200.1, TraesCS3B02G420100.1"	"TraesCS3D02G381000.1, TraesCS3D02G380900.1, TraesCS5D02G353900.1"
TraesCS3A02G487200.2	TraesCS3B02G535000.2	TraesCS3D02G482500.3
TraesCS4A02G311400.1	"TraesCS4B02G003400.1, TraesCS4B02G002900.1"	"TraesCS4D02G002700.2, TraesCS4D02G003200.1"
TraesCS4A02G342500.1	TraesCS5B02G532700.3	TraesCS5D02G530600.1
"TraesCS7A02G032500.1, TraesCS4A02G457100.1"	"TraesCS3B02G479600.1, TraesCS1B02G060900.1"	TraesCS7D02G029100.1
TraesCS5A02G214400.1	TraesCS5B02G209400.1	TraesCS5D02G217600.1
TraesCS5A02G349800.1	"TraesCS5B02G351100.1, TraesCS5B02G351300.1"	"TraesCS5D02G356200.1, TraesCS5D02G356100.1"
"TraesCS5A02G463900.1, TraesCS5A02G464000.1"	TraesCS5B02G475400.1	"TraesCS5D02G476600.1, TraesCS5D02G476700.1, TraesCS5D02G540000.1"
TraesCS6A02G023300.2	"TraesCS6B02G031300.1, TraesCS6B02G031700.1"	"TraesCS6D02G026600.2, TraesCS6D02G026500.2"
TraesCS6A02G074400.1	TraesCS6B02G123600.1	"TraesCS6D02G087900.1, TraesCS6D02G086200.1"
TraesCS6A02G258100.1	"TraesCS7B02G360100.1, TraesCS7B02G249800.1"	"TraesCS7D02G288200.1, TraesCS4D02G341100.1, TraesCS2D02G215100.1"
TraesCS6A02G301300.1	TraesCS7B02G463700.1	"TraesCS6D02G280700.1, TraesCS2D02G105800.1, TraesCS2D02G105900.1"
TraesCS6A02G410800.1	TraesCS6B02G456600.1	TraesCS6D02G393700.1
TraesCS7A02G149000.1	"TraesCS7B02G052700.1, TraesCS7B02G052600.1"	"TraesCS7D02G150600.1, TraesCS7D02G150500.1"
TraesCS7A02G275000.1	"TraesCS7B02G172300.1, TraesCS7B02G172400.1"	"TraesCS7D02G274400.1, TraesCS7D02G274500.1"
TraesCS7A02G467300.1	"TraesCS4B02G036600.1, TraesCS7B02G368700.1"	"TraesCS4D02G013800.1, TraesCS7D02G455500.1"
TraesCS7A02G526900.1	TraesCS7B02G388500.1	TraesCS7D02G472200.2
TraesCS1A02G104000.1	"TraesCS1B02G114700.1, TraesCS1B02G114800.1"	"TraesCS1D02G095900.1, TraesCS1D02G096000.1"
TraesCS2A02G314600.1	TraesCS2B02G332800.2	TraesCS2D02G312800.1
TraesCS3A02G183700.1	TraesCS3B02G213500.1	TraesCS3D02G187900.1
TraesCS1A02G286500.1	TraesCS1B02G295800.1	TraesCS1D02G285500.1
TraesCS1A02G310100.1	"TraesCS1B02G321200.1, TraesCS2B02G442400.1"	"TraesCS1D02G309600.1, TraesCS2D02G420400.1"
TraesCS1A02G365900.1	TraesCS1B02G383600.1	"TraesCS1D02G371600.1, TraesCS1D02G371500.1, TraesCS1D02G371400.1"
TraesCS1A02G399500.1	"TraesCS1B02G427500.1, TraesCS1B02G427600.1"	"TraesCS1D02G407000.1, TraesCS1D02G407100.1"
TraesCS2A02G001300.1	TraesCS2B02G022600.1	TraesCS2D02G001500.1
"TraesCS2A02G085600.1, TraesCS2A02G085400.1, TraesCS2A02G085800.1"	TraesCS2B02G101100.1	TraesCS2D02G083300.1
TraesCS2A02G109900.1	"TraesCS2B02G127900.1, TraesCS4B02G166800.1"	"TraesCS2D02G110100.1, TraesCS4D02G169400.1"
"TraesCS2A02G112200.1, TraesCS2A02G372200.1"	"TraesCS2B02G389300.1, TraesCS2B02G130700.1"	"TraesCS2D02G112600.1, TraesCS2D02G368500.1"
TraesCS2A02G114600.1	"TraesCS2B02G133600.1, TraesCS2B02G133700.1"	"TraesCS2D02G115400.1, TraesCS2D02G115300.1"
TraesCS4A02G273100.1	TraesCS4B02G040900.1	TraesCS4D02G038300.1
"TraesCS2A02G350600.1, TraesCS2A02G350500.1, TraesCS2A02G350400.1"	TraesCS2B02G368900.1	TraesCS2D02G348700.1
TraesCS2A02G405300.1	"TraesCS2B02G423300.1, TraesCS2B02G423400.1"	"TraesCS2D02G402200.1, TraesCS2D02G402100.1"
TraesCS2A02G439600.1	TraesCS2B02G459500.1	"TraesCS2D02G437100.1, TraesCS2D02G437000.1, TraesCS2D02G436900.1"
TraesCS2A02G447700.1	"TraesCS2B02G468100.1, TraesCS7B02G423400.1"	"TraesCS2D02G446600.2, TraesCS7D02G500800.1"
TraesCS2A02G448100.1	"TraesCS2B02G468600.1, TraesCS2B02G468500.1"	"TraesCS2D02G447200.1, TraesCS2D02G447000.1"
TraesCS2A02G475200.1	"TraesCS2B02G498700.1, TraesCS2B02G498800.1"	TraesCS2D02G474600.1
"TraesCS2A02G493400.1, TraesCS2A02G493200.1, TraesCS2A02G493300.1"	TraesCS2B02G521200.1	TraesCS2D02G493200.1
TraesCS2A02G505200.1	TraesCS2B02G533400.2	TraesCS2D02G505900.1
TraesCS7A02G299200.1	TraesCS7B02G200900.2	TraesCS7D02G026600.2
TraesCS3A02G054400.1	"TraesCS3B02G065900.1, TraesCS3B02G066000.1"	"TraesCS3D02G053900.1, TraesCS3D02G054000.1"
TraesCS3A02G055900.1	TraesCS3B02G068700.1	TraesCS3D02G056000.1
TraesCS3A02G075500.1	"TraesCS3B02G089600.1, TraesCS3B02G089500.1"	"TraesCS3D02G075600.1, TraesCS3D02G075500.1"
TraesCS3A02G124400.1	TraesCS3B02G143700.1	TraesCS3D02G125700.1
TraesCS3A02G144800.1	TraesCS3B02G171600.1	TraesCS3D02G153600.1
TraesCS3A02G287000.1	TraesCS3B02G321100.1	TraesCS3D02G286600.1
TraesCS3A02G300000.1	"TraesCS3B02G336500.1, TraesCS3B02G336600.1"	TraesCS3D02G301900.1
"TraesCS3A02G315000.1, TraesCS3A02G314900.1"	"TraesCS3B02G351900.1, TraesCS3B02G352100.1"	TraesCS3D02G316500.1
TraesCS3A02G368700.1	"TraesCS3B02G400500.1, TraesCS3B02G400200.1"	"TraesCS3D02G361700.1, TraesCS3D02G361600.1"
TraesCS3A02G380100.1	TraesCS3B02G412600.1	TraesCS3D02G373300.1
TraesCS3A02G410700.1	TraesCS3B02G444000.1	TraesCS3D02G405300.1
TraesCS3A02G421000.1	"TraesCS3B02G456500.1, TraesCS3B02G456700.1"	"TraesCS3D02G416500.1, TraesCS3D02G416700.1"
TraesCS3A02G438000.1	TraesCS3B02G472000.1	TraesCS3D02G430300.1
"TraesCS3A02G492100.1, TraesCS3A02G439600.2"	"TraesCS3B02G553200.1, TraesCS3B02G552800.1"	TraesCS3D02G499600.2
TraesCS3A02G450100.1	"TraesCS3B02G487000.1, TraesCS3B02G486800.1, TraesCS3B02G487100.1"	TraesCS3D02G443000.1
TraesCS4A02G008100.2	TraesCS4B02G296800.1	TraesCS4D02G295700.1
TraesCS4A02G202600.1	TraesCS4B02G106700.1	TraesCS4D02G103600.1
TraesCS4A02G092900.1	TraesCS4B02G211600.1	TraesCS4D02G212200.1
"TraesCS4A02G279600.2, TraesCS4A02G182100.1"	"TraesCS4B02G032800.1, TraesCS3B02G282800.1"	TraesCS4D02G031200.1
"TraesCS4A02G266000.1, TraesCS4A02G265900.1"	"TraesCS3B02G066300.1, TraesCS4B02G049000.1"	TraesCS4D02G049100.1
TraesCS4A02G328800.1	"TraesCS5B02G543200.1, TraesCS6B02G450100.2, TraesCS1B02G394300.1"	TraesCS1D02G031900.1
"TraesCS7A02G087800.1, TraesCS4A02G386700.1"	TraesCS4B02G086600.1	TraesCS7D02G082900.1
TraesCS5A02G082500.1	"TraesCS5B02G088500.1, TraesCS5B02G088600.1"	"TraesCS5D02G094900.1, TraesCS5D02G095000.1"
TraesCS5A02G175900.1	"TraesCS5B02G172000.1, TraesCS5B02G172200.1"	"TraesCS5D02G179200.1, TraesCS5D02G179300.1"
TraesCS5A02G280300.1	TraesCS5B02G279300.1	"TraesCS5D02G286900.1, TraesCS6D02G097100.1"
TraesCS5A02G295100.1	"TraesCS5B02G294400.1, TraesCS5B02G294500.1"	"TraesCS5D02G302600.1, TraesCS5D02G302700.1"
TraesCS5A02G317800.1	TraesCS5B02G318400.1	TraesCS5D02G324200.2
"TraesCS5A02G399400.1, TraesCS5A02G399100.1"	TraesCS5B02G404200.1	"TraesCS5D02G408900.1, TraesCS5D02G408800.1"
TraesCS5A02G424800.1	"TraesCS5B02G426800.1, TraesCS5B02G426700.1"	"TraesCS5D02G433300.1, TraesCS5D02G433200.1"
TraesCS5A02G442400.1	"TraesCS2B02G573000.1, TraesCS5B02G446500.1"	"TraesCS2D02G544400.1, TraesCS5D02G449800.1"
TraesCS5A02G452800.1	"TraesCS5B02G462300.1, TraesCS5B02G462400.1, TraesCS5B02G461800.1"	TraesCS5D02G463200.1
TraesCS5A02G483500.1	TraesCS5B02G496600.1	TraesCS5D02G497000.1
TraesCS5A02G496000.1	TraesCS1B02G417300.1	TraesCS4D02G320300.1
