OG0013276	TraesPARA_EIv1.0_0073630.3	TraesCS1A03G0301200.1
OG0025291	TraesPARA_EIv1.0_0076460.1	TraesCS1A03G0271300.1
OG0025292	TraesPARA_EIv1.0_2277990.1	TraesCS7A03G0524100.1
OG0025293	TraesPARA_EIv1.0_1982910.1	TraesCS6A03G0972900.1
OG0025294	TraesPARA_EIv1.0_0081460.1	TraesCS1A03G0215100.1
OG0025296	TraesPARA_EIv1.0_2315160.2	TraesCS7A03G0893100.1
OG0025297	TraesPARA_EIv1.0_1988480.1	TraesCS6A03G1032000.1
OG0025298	TraesPARA_EIv1.0_1244280.1	TraesCS4A03G0663800.1
OG0025299	TraesPARA_EIv1.0_0334010.1	TraesCS2A03G1326000.1
OG0025300	TraesPARA_EIv1.0_1236200.1	TraesCS4A03G0749800.1
OG0025301	TraesPARA_EIv1.0_2278150.1	TraesCS7A03G0524900.1
OG0025302	TraesPARA_EIv1.0_1903600.1	TraesCS6A03G0154500.3
OG0025303	TraesPARA_EIv1.0_0000330.1	TraesCS1A03G1081800.1
OG0025304	TraesPARA_EIv1.0_0804830.1	TraesCS3A03G0357600.1
OG0025305	TraesPARA_EIv1.0_0789570.1	TraesCS6A03G0276500.1
OG0025306	TraesPARA_EIv1.0_1252490.1	TraesCS4A03G0574500.1
OG0025307	TraesPARA_EIv1.0_1512810.1	TraesCS5A03G1201500.1
OG0025308	TraesPARA_EIv1.0_2298810.1	TraesCS7A03G0732600.1
OG0025309	TraesPARA_EIv1.0_0368780.1	TraesCS2A03G0967700.1
OG0025310	TraesPARA_EIv1.0_1598020.1	TraesCS5A03G0299300.1
OG0025311	TraesPARA_EIv1.0_0373540.1	TraesCS2A03G0922600.1
OG0025313	TraesPARA_EIv1.0_1917080.2	TraesCS6A03G0293600.1
OG0025315	TraesPARA_EIv1.0_0790190.1	TraesCS3A03G0212000.1
OG0025316	TraesPARA_EIv1.0_0017450.4	TraesCS1A03G1002500.1
OG0025317	TraesPARA_EIv1.0_0440830.1	TraesCS2A03G0219600.1
OG0025318	TraesPARA_EIv1.0_2249290.1	TraesCS7A03G0228200.1
OG0025319	TraesPARA_EIv1.0_2278620.1	TraesCS7A03G0530500.1
OG0025320	TraesPARA_EIv1.0_0855460.1	TraesCS3A03G0885100.1
OG0025322	TraesPARA_EIv1.0_0372320.1	TraesCS2A03G0935000.1
OG0025323	TraesPARA_EIv1.0_1614430.1	TraesCS5A03G0128100.1
OG0025324	TraesPARA_EIv1.0_0353290.1	TraesCS2A03G1129500.1
OG0025325	TraesPARA_EIv1.0_1979090.1	TraesCS6A03G0937900.1
OG0025326	TraesPARA_EIv1.0_0775710.1	TraesCS3A03G0063400.1
OG0025327	TraesPARA_EIv1.0_2337570.1	TraesCS7A03G1132400.1
OG0025328	TraesPARA_EIv1.0_1970700.1	TraesCS6A03G0861500.1
OG0025330	TraesPARA_EIv1.0_0007930.1	TraesCS1A03G0901200.1
OG0025331	TraesPARA_EIv1.0_2308690.1	TraesCS7A03G0828900.1
OG0025332	TraesPARA_EIv1.0_0853600.1	TraesCS3A03G0865800.1
OG0025333	TraesPARA_EIv1.0_2339620.1	TraesCS7A03G1151600.1
OG0025334	TraesPARA_EIv1.0_0399770.1	TraesCS2A03G0645700.1
OG0025335	TraesPARA_EIv1.0_1550700.1	TraesCS5A03G0803000.1
OG0025336	TraesPARA_EIv1.0_0347080.1	TraesCS2A03G1196100.1
OG0025337	TraesPARA_EIv1.0_1569390.1	TraesCS5A03G0610700.1
OG0025338	TraesPARA_EIv1.0_0774290.1	TraesCS3A03G0048600.1
OG0025339	TraesPARA_EIv1.0_1187440.1	TraesCS4A03G1194800.1
OG0025340	TraesPARA_EIv1.0_0863390.1	TraesCS3A03G0968500.1
OG0025341	TraesPARA_EIv1.0_0789880.1	TraesCS3A03G0209300.1
OG0025342	TraesPARA_EIv1.0_1971750.1	TraesCS6A03G0871000.1
OG0025343	TraesPARA_EIv1.0_1259640.1	TraesCS4A03G0497500.1
OG0025344	TraesPARA_EIv1.0_1255750.1	TraesCS4A03G0540000.1
OG0025345	TraesPARA_EIv1.0_0417030.1	TraesCS2A03G0467200.1
OG0025346	TraesPARA_EIv1.0_1188170.1	TraesCS4A03G1188200.1
OG0025347	TraesPARA_EIv1.0_0332590.1	TraesCS7A03G1140300.1
OG0025348	TraesPARA_EIv1.0_0826930.1	TraesCS3A03G0581500.1
OG0025349	TraesPARA_EIv1.0_1508790.1	TraesCS5A03G1242500.1
OG0025350	TraesPARA_EIv1.0_2226290.1	TraesCS7A03G0004300.1
OG0025351	TraesPARA_EIv1.0_1250050.3	TraesCS4A03G0602200.2
OG0025352	TraesPARA_EIv1.0_2342430.1	TraesCS7A03G1181800.1
OG0025353	TraesPARA_EIv1.0_0788020.1	TraesCS3A03G0191500.1
OG0025354	TraesPARA_EIv1.0_0415170.1	TraesCS2A03G0488800.1
OG0025355	TraesPARA_EIv1.0_0095800.1	TraesCS1A03G0069000.1
OG0025356	TraesPARA_EIv1.0_0434440.1	TraesCS2A03G0286200.1
OG0025357	TraesPARA_EIv1.0_0831340.2	TraesCS3A03G0627800.2
OG0025358	TraesPARA_EIv1.0_0831340.1	TraesCS3A03G0627800.1
OG0025359	TraesPARA_EIv1.0_1514470.2	TraesCS5A03G1184100.1
OG0025360	TraesPARA_EIv1.0_1919030.1	TraesCS6A03G0313500.1
OG0025361	TraesPARA_EIv1.0_2282940.1	TraesCS7A03G0576700.1
OG0025362	TraesPARA_EIv1.0_0029230.1	TraesCS1A03G0782200.1
OG0025363	TraesPARA_EIv1.0_0788710.1	TraesCS3A03G0195700.1
OG0025366	TraesPARA_EIv1.0_2280430.4	TraesCS7A03G0551200.3
OG0025367	TraesPARA_EIv1.0_2280430.1	TraesCS7A03G0551200.2
OG0025368	TraesPARA_EIv1.0_2280430.2	TraesCS7A03G0551200.1
OG0025369	TraesPARA_EIv1.0_1572670.1	TraesCS5A03G0576900.1
OG0025370	TraesPARA_EIv1.0_0797490.1	TraesCS3A03G0280400.1
OG0025371	TraesPARA_EIv1.0_0005510.1	TraesCS1A03G1028300.1
OG0025372	TraesPARA_EIv1.0_2322770.1	TraesCS7A03G0978500.1
OG0025373	TraesPARA_EIv1.0_0370000.1	TraesCS2A03G0954400.1
OG0025374	TraesPARA_EIv1.0_1522130.1	TraesCS5A03G1103200.1
OG0025375	TraesPARA_EIv1.0_1590040.1	TraesCS5A03G0388300.1
OG0025376	TraesPARA_EIv1.0_1590040.2	TraesCS5A03G0388300.2
OG0025377	TraesPARA_EIv1.0_1959080.1	TraesCS6A03G0737100.1
OG0025378	TraesPARA_EIv1.0_1302840.1	TraesCS4A03G0032100.1
OG0025379	TraesPARA_EIv1.0_1283220.1	TraesCS4A03G0249300.1
OG0025380	TraesPARA_EIv1.0_0770990.1	TraesCS3A03G0015200.1
OG0025381	TraesPARA_EIv1.0_0368170.2	TraesCS2A03G0974700.1
OG0025382	TraesPARA_EIv1.0_0047420.1	TraesCS1A03G0584300.1
OG0025383	TraesPARA_EIv1.0_0859170.1	TraesCS3A03G0924900.1
OG0025384	TraesPARA_EIv1.0_2306330.1	TraesCS7A03G0806400.1
OG0025385	TraesPARA_EIv1.0_0812510.1	TraesCS3A03G0439600.1
OG0025386	TraesPARA_EIv1.0_0377750.2	TraesCS2A03G0879100.1
OG0025387	TraesPARA_EIv1.0_2251350.1	TraesCS7A03G0255700.1
OG0025388	TraesPARA_EIv1.0_2278280.1	TraesCS7A03G0526500.1
OG0025389	TraesPARA_EIv1.0_1503470.1	TraesCS5A03G1294600.1
OG0025390	TraesPARA_EIv1.0_0834350.1	TraesCS3A03G0658900.1
OG0025391	TraesPARA_EIv1.0_0778120.1	TraesCS3A03G0086600.1
OG0025392	TraesPARA_EIv1.0_1289830.1	TraesCS4A03G0178900.1
OG0025393	TraesPARA_EIv1.0_2345340.1	TraesCS7A03G1208000.1
OG0025394	TraesPARA_EIv1.0_1584660.1	TraesCS5A03G0448200.1
OG0025395	TraesPARA_EIv1.0_1291520.1	TraesCS4A03G0135700.1
OG0025396	TraesPARA_EIv1.0_2266750.1	TraesCS7A03G0414300.1
OG0025397	TraesPARA_EIv1.0_1203670.1	TraesCS4A03G1044800.1
OG0025398	TraesPARA_EIv1.0_1265830.1	TraesCS4A03G0438100.1
OG0025399	TraesPARA_EIv1.0_1914820.1	TraesCS6A03G0271100.1
OG0025400	TraesPARA_EIv1.0_0824420.1	TraesCS3A03G0555900.1
OG0025401	TraesPARA_EIv1.0_1904780.1	TraesCS6A03G0166100.1
OG0025402	TraesPARA_EIv1.0_0061390.1	TraesCS1A03G0428400.1
OG0025403	TraesPARA_EIv1.0_0375040.1	TraesCS2A03G0905400.1
OG0025404	TraesPARA_EIv1.0_1510400.1	TraesCS5A03G1225400.1
OG0025405	TraesPARA_EIv1.0_1589160.1	TraesCS5A03G0398600.1
OG0025406	TraesPARA_EIv1.0_1301890.1	TraesCS4A03G0043300.1
OG0025407	TraesPARA_EIv1.0_0368090.1	TraesCS2A03G0975700.1
OG0025408	TraesPARA_EIv1.0_0422650.1	TraesCS2A03G0406800.1
OG0025409	TraesPARA_EIv1.0_0011630.1	TraesCS1A03G0943100.1
OG0025410	TraesPARA_EIv1.0_1918020.1	TraesCS6A03G0304200.1
OG0025411	TraesPARA_EIv1.0_1556920.1	TraesCS5A03G0741700.1
OG0025412	TraesPARA_EIv1.0_1576150.1	TraesCS5A03G0540300.1
OG0025413	TraesPARA_EIv1.0_0092890.1	TraesCS1A03G0100600.1
OG0025414	TraesPARA_EIv1.0_0344110.1	TraesCS2A03G1225400.1
OG0025415	TraesPARA_EIv1.0_1579590.1	TraesCS5A03G0501400.1
OG0025416	TraesPARA_EIv1.0_1284950.1	TraesCS4A03G0229700.1
OG0025417	TraesPARA_EIv1.0_0006750.1	TraesCS1A03G1015200.1
OG0025418	TraesPARA_EIv1.0_1983490.1	TraesCS6A03G0978600.1
OG0025419	TraesPARA_EIv1.0_0864070.1	TraesCS3A03G0974700.1
OG0025420	TraesPARA_EIv1.0_1899080.1	TraesCS6A03G0106100.1
OG0025421	TraesPARA_EIv1.0_0830030.1	TraesCS3A03G0614100.1
OG0025422	TraesPARA_EIv1.0_0894980.1	TraesCS3A03G1276200.1
OG0025423	TraesPARA_EIv1.0_0378350.1	TraesCS2A03G0873800.1
OG0025424	TraesPARA_EIv1.0_2317840.1	TraesCS7A03G0922800.1
OG0025425	TraesPARA_EIv1.0_1624430.1	TraesCS5A03G0023900.1
OG0025426	TraesPARA_EIv1.0_0785840.1	TraesCS3A03G0166800.1
OG0025427	TraesPARA_EIv1.0_1907100.1	TraesCS6A03G0187100.1
OG0025428	TraesPARA_EIv1.0_0455450.1	TraesCS2A03G0089200.1
OG0025429	TraesPARA_EIv1.0_1889840.1	TraesCS6A03G0010300.1
OG0025430	TraesPARA_EIv1.0_1229140.1	TraesCS4A03G0811900.1
OG0025431	TraesPARA_EIv1.0_1900660.1	TraesCS6A03G0120800.1
OG0025432	TraesPARA_EIv1.0_1238390.1	TraesCS4A03G0727400.1
OG0025433	TraesPARA_EIv1.0_1585890.1	TraesCS5A03G0435700.1
OG0025434	TraesPARA_EIv1.0_1523950.1	TraesCS5A03G1083400.1
OG0025435	TraesPARA_EIv1.0_0435020.1	TraesCS2A03G0280200.1
OG0025436	TraesPARA_EIv1.0_0806030.1	TraesCS3A03G0370800.1
OG0025438	TraesPARA_EIv1.0_2249810.1	TraesCS7A03G0238700.1
OG0025439	TraesPARA_EIv1.0_0830680.1	TraesCS3A03G0619900.1
OG0025440	TraesPARA_EIv1.0_1291710.1	TraesCS4A03G0141800.1
OG0025441	TraesPARA_EIv1.0_1545420.1	TraesCS5A03G0851300.1
OG0025442	TraesPARA_EIv1.0_1975600.1	TraesCS6A03G0907500.1
OG0025443	TraesPARA_EIv1.0_1953160.1	TraesCS6A03G0672800.1
OG0025444	TraesPARA_EIv1.0_0372620.1	TraesCS2A03G0932000.1
OG0025445	TraesPARA_EIv1.0_1204860.1	TraesCS7A03G1323800.1
OG0025446	TraesPARA_EIv1.0_1560210.1	TraesCS5A03G0709500.1
OG0025447	TraesPARA_EIv1.0_1248230.1	TraesCS4A03G0620100.1
OG0025448	TraesPARA_EIv1.0_0098050.1	TraesCS1A03G0045000.1
OG0025449	TraesPARA_EIv1.0_0892880.1	TraesCS3A03G1255800.1
OG0025450	TraesPARA_EIv1.0_0359640.1	TraesCS2A03G1066000.1
OG0025451	TraesPARA_EIv1.0_2272430.1	TraesCS7A03G0457200.1
OG0025452	TraesPARA_EIv1.0_0797920.1	TraesCS3A03G0287200.1
OG0025453	TraesPARA_EIv1.0_0022260.1	TraesCS1A03G0850600.1
OG0025454	TraesPARA_EIv1.0_1502690.1	TraesCS5A03G1300200.1
OG0025455	TraesPARA_EIv1.0_0405450.1	TraesCS2A03G0589200.1
OG0025457	TraesPARA_EIv1.0_0366790.1	TraesCS2A03G0989800.1
OG0025458	TraesPARA_EIv1.0_1530270.1	TraesCS5A03G1016200.1
OG0025459	TraesPARA_EIv1.0_0038610.1	TraesCS1A03G0677600.1
OG0025460	TraesPARA_EIv1.0_0000290.1	TraesCS1A03G1082500.1
OG0025461	TraesPARA_EIv1.0_2317070.1	TraesCS7A03G0915800.1
OG0025462	TraesPARA_EIv1.0_0055450.1	TraesCS1A03G0493800.1
OG0025463	TraesPARA_EIv1.0_0099360.1	TraesCS1A03G0031600.1
OG0025464	TraesPARA_EIv1.0_2293660.7	TraesCS7A03G0676500.1
OG0025465	TraesPARA_EIv1.0_2293660.1	TraesCS7A03G0676500.4
OG0025466	TraesPARA_EIv1.0_0347860.1	TraesCS2A03G1188800.1
OG0025467	TraesPARA_EIv1.0_0348460.1	TraesCS2A03G1180500.1
OG0025468	TraesPARA_EIv1.0_2346850.1	TraesCS7A03G1220900.1
OG0025469	TraesPARA_EIv1.0_0364450.2	TraesCS2A03G1014500.1
OG0025470	TraesPARA_EIv1.0_1251520.1	TraesCS4A03G0585900.1
OG0025472	TraesPARA_EIv1.0_0791180.1	TraesCS3A03G0220700.1
OG0025473	TraesPARA_EIv1.0_1250290.1	TraesCS4A03G0599700.1
OG0025476	TraesPARA_EIv1.0_1907580.1	TraesCS6A03G0191800.1
OG0025477	TraesPARA_EIv1.0_0354550.1	TraesCS2A03G1116900.1
OG0025478	TraesPARA_EIv1.0_1291130.2	TraesCS4A03G0163700.1
OG0025480	TraesPARA_EIv1.0_1589090.1	TraesCS5A03G0399300.1
OG0025481	TraesPARA_EIv1.0_0078310.1	TraesCS1A03G0249400.1
OG0025482	TraesPARA_EIv1.0_2266810.3	TraesCS7A03G0414800.1
OG0025483	TraesPARA_EIv1.0_0046920.1	TraesCS1A03G0589500.1
OG0025484	TraesPARA_EIv1.0_1299800.1	TraesCS4A03G0065500.1
OG0025485	TraesPARA_EIv1.0_0428220.2	TraesCS2A03G0351000.1
OG0025486	TraesPARA_EIv1.0_0428220.1	TraesCS2A03G0351000.2
OG0025487	TraesPARA_EIv1.0_1249480.1	TraesCS4A03G0607900.1
OG0025488	TraesPARA_EIv1.0_0332870.1	TraesCS2A03G1336600.1
OG0025489	TraesPARA_EIv1.0_0098990.1	TraesCS1A03G0035200.1
OG0025490	TraesPARA_EIv1.0_0454590.1	TraesCS2A03G0094200.1
OG0025491	TraesPARA_EIv1.0_2239720.1	TraesCS7A03G0138700.1
OG0025492	TraesPARA_EIv1.0_0870210.1	TraesCS3A03G1041300.1
OG0025493	TraesPARA_EIv1.0_0383290.1	TraesCS2A03G0819400.1
OG0025494	TraesPARA_EIv1.0_0807590.1	TraesCS3A03G0389400.1
OG0025495	TraesPARA_EIv1.0_1260660.1	TraesCS4A03G0486900.1
OG0025496	TraesPARA_EIv1.0_0427240.1	TraesCS2A03G0360700.1
OG0025497	TraesPARA_EIv1.0_1281870.1	TraesCS4A03G0265700.1
OG0025498	TraesPARA_EIv1.0_2355640.1	TraesCS5A03G0415100.1
OG0025499	TraesPARA_EIv1.0_0050350.1	TraesCS1A03G0552500.1
OG0025500	TraesPARA_EIv1.0_1590560.1	TraesCS5A03G0383400.1
OG0025501	TraesPARA_EIv1.0_1217780.1	TraesCS4A03G1018300.1
OG0025502	TraesPARA_EIv1.0_0426730.1	TraesCS2A03G0365800.1
OG0025503	TraesPARA_EIv1.0_2265910.1	TraesCS7A03G0405800.1
OG0025504	TraesPARA_EIv1.0_0045850.1	TraesCS1A03G0601600.1
OG0025505	TraesPARA_EIv1.0_2311270.1	TraesCS7A03G0853700.1
OG0025506	TraesPARA_EIv1.0_1243780.1	TraesCS4A03G0669700.1
OG0025507	TraesPARA_EIv1.0_1918790.1	TraesCS6A03G0897700.1
OG0025508	TraesPARA_EIv1.0_1542920.1	TraesCS5A03G0877700.1
OG0025509	TraesPARA_EIv1.0_0091890.1	TraesCS1A03G0109300.1
OG0025510	TraesPARA_EIv1.0_0858520.1	TraesCS3A03G0918400.1
OG0025511	TraesPARA_EIv1.0_0863990.3	TraesCS3A03G0974100.2
OG0025512	TraesPARA_EIv1.0_0347250.1	TraesCS2A03G1194100.1
OG0025513	TraesPARA_EIv1.0_1605250.1	TraesCS5A03G0223600.1
OG0025514	TraesPARA_EIv1.0_1599880.1	TraesCS5A03G0280400.1
OG0025515	TraesPARA_EIv1.0_1228390.1	TraesCS4A03G0817700.1
OG0025516	TraesPARA_EIv1.0_1228390.2	TraesCS4A03G0817700.2
OG0025517	TraesPARA_EIv1.0_2309110.1	TraesCS7A03G0832600.1
OG0025518	TraesPARA_EIv1.0_0077670.1	TraesCS1A03G0256600.1
OG0025519	TraesPARA_EIv1.0_0455610.1	TraesCS2A03G0087000.1
OG0025520	TraesPARA_EIv1.0_1503150.1	TraesCS5A03G1296600.1
OG0025521	TraesPARA_EIv1.0_0091910.1	TraesCS1A03G0109100.1
OG0025522	TraesPARA_EIv1.0_1922890.1	TraesCS6A03G0353400.1
OG0025523	TraesPARA_EIv1.0_1946310.1	TraesCS6A03G0601600.1
OG0025524	TraesPARA_EIv1.0_0042050.1	TraesCS1A03G0642400.1
OG0025525	TraesPARA_EIv1.0_0008240.2	TraesCS1A03G0903700.1
OG0025526	TraesPARA_EIv1.0_1624500.1	TraesCS5A03G0023200.1
OG0025528	TraesPARA_EIv1.0_1255220.1	TraesCS4A03G0546100.1
OG0025529	TraesPARA_EIv1.0_0016730.1	TraesCS1A03G0995200.1
OG0025530	TraesPARA_EIv1.0_1222090.1	TraesCS4A03G0874000.1
OG0025531	TraesPARA_EIv1.0_0854000.1	TraesCS3A03G0871700.1
OG0025532	TraesPARA_EIv1.0_1265500.6	TraesCS4A03G0442400.1
OG0025533	TraesPARA_EIv1.0_0386610.1	TraesCS2A03G0787500.1
OG0025534	TraesPARA_EIv1.0_2311570.1	TraesCS7A03G0857000.1
OG0025535	TraesPARA_EIv1.0_1538300.1	TraesCS5A03G0928400.1
OG0025536	TraesPARA_EIv1.0_0395170.1	TraesCS2A03G0696500.1
OG0025538	TraesPARA_EIv1.0_0804800.1	TraesCS3A03G0357400.1
OG0025539	TraesPARA_EIv1.0_1218200.1	TraesCS4A03G1022800.1
OG0025540	TraesPARA_EIv1.0_0779900.1	TraesCS3A03G0103300.1
OG0025541	TraesPARA_EIv1.0_1550440.1	TraesCS5A03G0806200.1
OG0025542	TraesPARA_EIv1.0_2242320.1	TraesCS7A03G0162400.1
OG0025543	TraesPARA_EIv1.0_1986010.1	TraesCS6A03G1007600.1
OG0025544	TraesPARA_EIv1.0_0380610.1	TraesCS2A03G0848700.1
OG0025545	TraesPARA_EIv1.0_0785130.2	TraesCS3A03G0159800.2
OG0025546	TraesPARA_EIv1.0_0785130.1	TraesCS3A03G0159800.1
OG0025547	TraesPARA_EIv1.0_1559630.1	TraesCS5A03G0715000.1
OG0025548	TraesPARA_EIv1.0_1260940.1	TraesCS4A03G0482900.1
OG0025549	TraesPARA_EIv1.0_2283450.1	TraesCS7A03G0581000.1
OG0025550	TraesPARA_EIv1.0_0084370.1	TraesCS1A03G0187800.1
OG0025551	TraesPARA_EIv1.0_0084370.2	TraesCS1A03G0187800.2
OG0025552	TraesPARA_EIv1.0_1535360.1	TraesCS5A03G0958900.1
OG0025553	TraesPARA_EIv1.0_1260790.1	TraesCS4A03G0485100.1
OG0025554	TraesPARA_EIv1.0_1587710.1	TraesCS5A03G0414000.1
OG0025555	TraesPARA_EIv1.0_1272490.1	TraesCS4A03G0392800.1
OG0025556	TraesPARA_EIv1.0_1963090.1	TraesCS6A03G0779700.1
OG0025557	TraesPARA_EIv1.0_1235660.1	TraesCS4A03G0755100.1
OG0025558	TraesPARA_EIv1.0_2351680.1	TraesCS7A03G1262200.1
OG0025559	TraesPARA_EIv1.0_2268070.1	TraesCS7A03G0427500.1
OG0025560	TraesPARA_EIv1.0_1298270.1	TraesCS4A03G0080100.1
OG0025561	TraesPARA_EIv1.0_0048180.1	TraesCS1A03G0576000.1
OG0025562	TraesPARA_EIv1.0_1965170.1	TraesCS6A03G0803800.1
OG0025563	TraesPARA_EIv1.0_0399170.1	TraesCS2A03G0652200.1
OG0025564	TraesPARA_EIv1.0_1219610.1	TraesCS4A03G0898600.1
OG0025565	TraesPARA_EIv1.0_0801720.1	TraesCS3A03G0322500.1
OG0025566	TraesPARA_EIv1.0_1538820.1	TraesCS5A03G0920700.1
OG0025567	TraesPARA_EIv1.0_0086720.1	TraesCS1A03G0167500.1
OG0025568	TraesPARA_EIv1.0_0008870.1	TraesCS1A03G0911000.1
OG0025569	TraesPARA_EIv1.0_1202220.1	TraesCS4A03G1058400.1
OG0025572	TraesPARA_EIv1.0_1945970.1	TraesCS6A03G0598300.1
OG0025574	TraesPARA_EIv1.0_2321970.1	TraesCS7A03G0967800.1
OG0025575	TraesPARA_EIv1.0_0011650.1	TraesCS1A03G0944000.1
OG0025576	TraesPARA_EIv1.0_2344620.1	TraesCS7A03G1202400.1
OG0025577	TraesPARA_EIv1.0_1252910.1	TraesCS4A03G0570200.1
OG0025578	TraesPARA_EIv1.0_1916240.1	TraesCS6A03G0286000.1
OG0025579	TraesPARA_EIv1.0_0036040.1	TraesCS1A03G0706600.1
OG0025580	TraesPARA_EIv1.0_1226700.1	TraesCS4A03G0831800.1
OG0025581	TraesPARA_EIv1.0_0424840.1	TraesCS2A03G0386900.1
OG0025582	TraesPARA_EIv1.0_1964460.1	TraesCS6A03G0796500.1
OG0025583	TraesPARA_EIv1.0_0005720.1	TraesCS1A03G1026500.1
OG0025584	TraesPARA_EIv1.0_1287470.1	TraesCS4A03G0205500.1
OG0025585	TraesPARA_EIv1.0_1224680.1	TraesCS4A03G0851200.1
OG0025586	TraesPARA_EIv1.0_1533880.1	TraesCS5A03G0975100.1
OG0025587	TraesPARA_EIv1.0_0361470.1	TraesCS2A03G1046700.1
OG0025588	TraesPARA_EIv1.0_1964690.1	TraesCS6A03G0799400.1
OG0025589	TraesPARA_EIv1.0_1281650.1	TraesCS4A03G0268800.1
OG0025590	TraesPARA_EIv1.0_1529800.1	TraesCS5A03G1021200.1
OG0025591	TraesPARA_EIv1.0_1967370.1	TraesCS6A03G0827600.1
OG0025592	TraesPARA_EIv1.0_1246280.5	TraesCS4A03G0641800.3
OG0025593	TraesPARA_EIv1.0_2335690.1	TraesCS7A03G1113900.1
OG0025594	TraesPARA_EIv1.0_0061620.2	TraesCS1A03G0425900.3
OG0025595	TraesPARA_EIv1.0_0061620.1	TraesCS1A03G0425900.2
OG0025596	TraesPARA_EIv1.0_1229600.1	TraesCS4A03G0807800.1
OG0025597	TraesPARA_EIv1.0_0351680.1	TraesCS2A03G1148000.1
OG0025598	TraesPARA_EIv1.0_1582110.1	TraesCS5A03G0474300.1
OG0025599	TraesPARA_EIv1.0_0006130.1	TraesCS1A03G1022100.1
OG0025600	TraesPARA_EIv1.0_0436490.1	TraesCS2A03G0263600.1
OG0025601	TraesPARA_EIv1.0_2312400.1	TraesCS7A03G0866200.1
OG0025604	TraesPARA_EIv1.0_2242350.1	TraesCS7A03G0162800.1
OG0025605	TraesPARA_EIv1.0_1925970.1	TraesCS6A03G0389100.1
OG0025606	TraesPARA_EIv1.0_0072620.1	TraesCS1A03G0311400.1
OG0025607	TraesPARA_EIv1.0_1928480.1	TraesCS6A03G0414900.1
OG0025608	TraesPARA_EIv1.0_1294360.1	TraesCS4A03G0130200.1
OG0025609	TraesPARA_EIv1.0_0350840.1	TraesCS2A03G1157500.1
OG0025610	TraesPARA_EIv1.0_1263760.1	TraesCS4A03G0456600.1
OG0025611	TraesPARA_EIv1.0_0436440.1	TraesCS2A03G0264000.1
OG0025612	TraesPARA_EIv1.0_0426430.1	TraesCS2A03G0369400.1
OG0025613	TraesPARA_EIv1.0_0434260.1	TraesCS2A03G0288200.1
OG0025614	TraesPARA_EIv1.0_1230470.1	TraesCS4A03G0798300.1
OG0025615	TraesPARA_EIv1.0_1988430.1	TraesCS6A03G1031300.2
OG0025616	TraesPARA_EIv1.0_1988430.2	TraesCS6A03G1031300.1
OG0025617	TraesPARA_EIv1.0_1894070.1	TraesCS6A03G0056700.1
OG0025618	TraesPARA_EIv1.0_0364800.1	TraesCS2A03G1011400.1
OG0025619	TraesPARA_EIv1.0_1272620.1	TraesCS4A03G0390200.1
OG0025620	TraesPARA_EIv1.0_2340720.1	TraesCS7A03G1164700.1
OG0025621	TraesPARA_EIv1.0_0436610.1	TraesCS2A03G0262500.1
OG0025622	TraesPARA_EIv1.0_1274900.1	TraesCS4A03G0364100.1
OG0025623	TraesPARA_EIv1.0_1219310.1	TraesCS4A03G0902100.1
OG0025624	TraesPARA_EIv1.0_1915140.1	TraesCS6A03G0275100.1
OG0025625	TraesPARA_EIv1.0_0091370.1	TraesCS1A03G0114500.1
OG0025626	TraesPARA_EIv1.0_1958100.1	TraesCS6A03G0725000.1
OG0025627	TraesPARA_EIv1.0_1244930.1	TraesCS4A03G0657000.1
OG0025628	TraesPARA_EIv1.0_1547190.1	TraesCS5A03G0838000.1
OG0025629	TraesPARA_EIv1.0_2258840.1	TraesCS7A03G0328300.1
OG0025630	TraesPARA_EIv1.0_2275390.1	TraesCS7A03G0500800.1
OG0025631	TraesPARA_EIv1.0_0455010.1	TraesCS2A03G0091800.1
OG0025632	TraesPARA_EIv1.0_2283840.1	TraesCS7A03G0585600.1
OG0025633	TraesPARA_EIv1.0_0771020.1	TraesCS3A03G0015600.1
OG0025634	TraesPARA_EIv1.0_1521690.1	TraesCS5A03G1108900.1
OG0025635	TraesPARA_EIv1.0_0432510.1	TraesCS2A03G0306900.1
OG0025636	TraesPARA_EIv1.0_1569910.1	TraesCS5A03G0605700.1
OG0025637	TraesPARA_EIv1.0_0008860.1	TraesCS1A03G0910900.1
OG0025638	TraesPARA_EIv1.0_2314290.1	TraesCS3A03G0353400.1
OG0025639	TraesPARA_EIv1.0_1926380.1	TraesCS6A03G0393200.1
OG0025640	TraesPARA_EIv1.0_0050230.1	TraesCS1A03G0557100.1
OG0025641	TraesPARA_EIv1.0_0074720.4	TraesCS1A03G0290300.2
OG0025642	TraesPARA_EIv1.0_1954330.1	TraesCS6A03G0683600.1
OG0025643	TraesPARA_EIv1.0_1922300.1	TraesCS6A03G0348300.1
OG0025644	TraesPARA_EIv1.0_2316770.1	TraesCS7A03G0911900.1
OG0025645	TraesPARA_EIv1.0_1913350.1	TraesCS6A03G0255300.1
OG0025646	TraesPARA_EIv1.0_1281540.1	TraesCS4A03G0271000.1
OG0025647	TraesPARA_EIv1.0_0842770.1	TraesCS3A03G0746200.1
OG0025648	TraesPARA_EIv1.0_1291030.1	TraesCS4A03G0165300.1
OG0025649	TraesPARA_EIv1.0_1968000.1	TraesCS6A03G0833800.1
OG0025650	TraesPARA_EIv1.0_2358380.1	TraesCS7A03G1331000.1
